item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,cluster_id,item1_cluster_id,item2_cluster_id,same_duplicate_cluster,final_analysis,is_borderline,classification_source,llm_review_status
1677,1702,dita_document:90cb7ab6a809e5677f29,dita_document:e963d7f9272ad7e7b382,1.0000007152557373,0.999921,duplicate/semantic duplicate,all_notes_fr_cluster_00460,all_notes_fr_cluster_00460,all_notes_fr_cluster_00460,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1227,1350,dita_document:266ea3006e2586bc065e,dita_document:b36c7d22d74806cd5a8a,1.0000005960464478,0.99882936,duplicate/semantic duplicate,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1227,1477,dita_document:266ea3006e2586bc065e,dita_document:e705ccc0453cdcb0fc65,1.0000005960464478,0.99882936,duplicate/semantic duplicate,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2525,2526,dita_document:ab741a1d022d9cb28264,dita_document:eabdf1e74048026274f6,1.0000005960464478,0.9998386,duplicate/semantic duplicate,all_notes_fr_cluster_00719,all_notes_fr_cluster_00719,all_notes_fr_cluster_00719,yes,Normalized node text is identical.,False,cross_encoder,not_needed
2864,2892,dita_document:fede486b3657925c0145,dita_document:0bed12ada00df5b1d0bc,1.0000005960464478,0.99985576,duplicate/semantic duplicate,all_notes_fr_cluster_00109,all_notes_fr_cluster_00109,all_notes_fr_cluster_00109,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3598,3908,dita_document:c72bb7a0fcdb5563b943,dita_document:ad8390d921dd26c91beb,1.0000005960464478,0.9998178,duplicate/semantic duplicate,all_notes_fr_cluster_00079,all_notes_fr_cluster_00079,all_notes_fr_cluster_00079,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4182,4184,dita_document:d45365e0463272b0e762,dita_document:46a42154a775615d4c2b,1.0000005960464478,0.9998144,duplicate/semantic duplicate,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4182,4185,dita_document:d45365e0463272b0e762,dita_document:79a29dbcc928592ab128,1.0000005960464478,0.9998144,duplicate/semantic duplicate,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4207,4371,dita_document:a33989218bda9d6493e2,dita_document:546f90a2718564c526d4,1.0000005960464478,0.99923354,duplicate/semantic duplicate,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4207,4388,dita_document:a33989218bda9d6493e2,dita_document:418ac01d2fc6f3c3c4df,1.0000005960464478,0.99923354,duplicate/semantic duplicate,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5379,5385,dita_document:b74f61634c0e0cebf26d,dita_document:363d835dcac1a404939f,1.0000005960464478,0.9998407,duplicate/semantic duplicate,all_notes_fr_cluster_00363,all_notes_fr_cluster_00363,all_notes_fr_cluster_00363,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5673,5678,dita_document:73959172dc5215554835,dita_document:ee7e2e4a37784b2cd0a9,1.0000005960464478,0.9998545,duplicate/semantic duplicate,all_notes_fr_cluster_00069,all_notes_fr_cluster_00069,all_notes_fr_cluster_00069,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1350,1477,dita_document:b36c7d22d74806cd5a8a,dita_document:e705ccc0453cdcb0fc65,1.0000005960464478,0.99882936,duplicate/semantic duplicate,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,all_notes_fr_cluster_00284,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4184,4185,dita_document:46a42154a775615d4c2b,dita_document:79a29dbcc928592ab128,1.0000005960464478,0.9998144,duplicate/semantic duplicate,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,all_notes_fr_cluster_00432,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4371,4388,dita_document:546f90a2718564c526d4,dita_document:418ac01d2fc6f3c3c4df,1.0000005960464478,0.99923354,duplicate/semantic duplicate,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,all_notes_fr_cluster_00276,yes,Normalized node text is identical.,False,cross_encoder,not_needed
343,348,dita_document:6c9d0bed0444301f1f65,dita_document:3db8824c2338884afcf2,1.0000004768371582,0.99980175,duplicate/semantic duplicate,all_notes_fr_cluster_00399,all_notes_fr_cluster_00399,all_notes_fr_cluster_00399,yes,Normalized node text is identical.,False,cross_encoder,not_needed
