"item1_index","item2_index","item1_node_id","item2_node_id","embedding_similarity","cross_encoder_score","final_relationship_type","final_analysis","is_borderline","classification_source","llm_review_status","item1_node_type","item1_article_path","item1_article_title","item1_language","item1_topic_path","item1_source_element_path","item1_element_id","item1_conref_targets","item1_text","item2_node_type","item2_article_path","item2_article_title","item2_language","item2_topic_path","item2_source_element_path","item2_element_id","item2_conref_targets","item2_text","item1_original_content","item2_original_content"
"566","568","dita_document:f639ed2356593d1f20f9","dita_document:016f147153bd076c45a4","1.0000003576278689","0.99971217","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0567.dita","Note","","","note_c_0567.dita","","","Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations","dita_document","note_c_0569.dita","Note","","","note_c_0569.dita","","","Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations","Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations","Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations"
"1293","1297","dita_document:61f1f29f360e6aa57722","dita_document:72293ae6d61016f37ece","1.000000238418579","0.9995827","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_1294.dita","Note","","","note_c_1294.dita","","","Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues","dita_document","note_c_1298.dita","Note","","","note_c_1298.dita","","","Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues","Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues","Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues"
"123","397","dita_document:77c319e77764cc3a3aa9","dita_document:a81ee570fd906a0ac99d","1.0","0.99968106","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0124.dita","Note","","","note_c_0124.dita","","","Note Avertissement : Le fait de cliquer sur Supprimer supprime de façon immédiate et permanente les données sur le contact à l'écran Contact / Demandeur. Cependant, vous pouvez encore visualiser les données sur le contact à l'écran Historique du contact / demandeur.","dita_document","note_c_0398.dita","Note","","","note_c_0398.dita","","","Note Avertissement : Le fait de cliquer sur Supprimer supprime de façon immédiate et permanente les données sur le contact à l'écran Contact/Demandeur. Cependant, vous pouvez encore visualiser les données sur le contact à l'écran Historique du Contact/Demandeur.","Note Avertissement : Le fait de cliquer sur Supprimer supprime de façon immédiate et permanente les données sur le contact à l'écran Contact / Demandeur. Cependant, vous pouvez encore visualiser les données sur le contact à l'écran Historique du contact / demandeur.","Note Avertissement : Le fait de cliquer sur Supprimer supprime de façon immédiate et permanente les données sur le contact à l'écran Contact/Demandeur. Cependant, vous pouvez encore visualiser les données sur le contact à l'écran Historique du Contact/Demandeur."
"266","392","dita_document:fa23c1fa68d8326cb3bc","dita_document:d698af930481e760f00c","1.0","0.9997805","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0267.dita","Note","","","note_c_0267.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP – 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations Base + 1re supplémentaire .","dita_document","note_c_0393.dita","Note","","","note_c_0393.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations Base + 1re supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP – 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations Base + 1re supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations Base + 1re supplémentaire ."
"267","816","dita_document:a0d727ab1d23af2bde32","dita_document:b1fc8f39ef8c35771602","1.0","0.99978065","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0268.dita","Note","","","note_c_0268.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP – 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations – 2e supplémentaire .","dita_document","note_c_0817.dita","Note","","","note_c_0817.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP – 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations – 2e supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire ."
"304","323","dita_document:58257d86bfad45cb98b2","dita_document:9d0500416e1d25dc9647","1.0","0.99986327","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0305.dita","Note","","","note_c_0305.dita","","","Note Remarque : Le SERTI affiche Session complète par défaut si une simulation antérieure a été effectuée. Vous pouvez soit modifier la session complète, soit cliquer sur Nouvelle session pour commencer une nouvelle simulation.","dita_document","note_c_0324.dita","Note","","","note_c_0324.dita","","","Note Remarque : Le SERTI affiche Session complète par défaut, si une simulation antérieure a été effectuée. Vous pouvez soit modifier la session complète, soit cliquer sur Nouvelle session pour commencer une nouvelle simulation.","Note Remarque : Le SERTI affiche Session complète par défaut si une simulation antérieure a été effectuée. Vous pouvez soit modifier la session complète, soit cliquer sur Nouvelle session pour commencer une nouvelle simulation.","Note Remarque : Le SERTI affiche Session complète par défaut, si une simulation antérieure a été effectuée. Vous pouvez soit modifier la session complète, soit cliquer sur Nouvelle session pour commencer une nouvelle simulation."
"315","537","dita_document:28a0e15de474e061743a","dita_document:afbfbef38bfc71561109","1.0","0.99987346","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0316.dita","Note","","","note_c_0316.dita","","","Note Avertissement : Vous ne pouvez pas modifier les périodes non-résident.","dita_document","note_c_0538.dita","Note","","","note_c_0538.dita","","","Note Avertissement: Vous ne pouvez pas modifier les périodes non-résident.","Note Avertissement : Vous ne pouvez pas modifier les périodes non-résident.","Note Avertissement: Vous ne pouvez pas modifier les périodes non-résident."
"335","1314","dita_document:fd2a667836095fed0b36","dita_document:030bdb2939c07d9626c7","1.0","0.99988586","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0336.dita","Note","","","note_c_0336.dita","","","Note Remarque : Dans le SERTI, la prestation d'enfant survivant correspond à la prestation d'orphelin.","dita_document","note_c_1315.dita","Note","","","note_c_1315.dita","","","Note Remarque : Dans le SERTI , la prestation d'enfant survivant correspond à la prestation d'orphelin.","Note Remarque : Dans le SERTI, la prestation d'enfant survivant correspond à la prestation d'orphelin.","Note Remarque : Dans le SERTI , la prestation d'enfant survivant correspond à la prestation d'orphelin."
"393","410","dita_document:74e4c0afa5237e7d3a77","dita_document:2bdb38c7f8111a52352a","1.0","0.99978083","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0394.dita","Note","","","note_c_0394.dita","","","Note Remarque : Vous pouvez saisir les renseignements sur les gains du client dans le champ GNAP - 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire .","dita_document","note_c_0411.dita","Note","","","note_c_0411.dita","","","Note Remarque : Vous pouvez saisir les renseignements sur les gains du client dans le champ GNAP 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire .","Note Remarque : Vous pouvez saisir les renseignements sur les gains du client dans le champ GNAP - 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire .","Note Remarque : Vous pouvez saisir les renseignements sur les gains du client dans le champ GNAP 2e supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations + 2e supplémentaire ."
"409","815","dita_document:6b34f9996403bae44d62","dita_document:e190ca55728257c19762","1.0","0.99979764","duplicate/semantic duplicate","Normalized node text is identical.","False","cross_encoder","not_needed","dita_document","note_c_0410.dita","Note","","","note_c_0410.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations de base + 1re supplémentaire .","dita_document","note_c_0816.dita","Note","","","note_c_0816.dita","","","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP - 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations de base + 1re supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations de base + 1re supplémentaire .","Note Remarque : Vous pouvez saisir les gains fournis par le client dans le champ GNAP - 1re supplémentaire , mais cette option peut fournir une estimation moins précise que l'utilisation des champs Gains et Cotisations de base + 1re supplémentaire ."
