record_id,text,mapped_frames,primary_frame,primary_frame_id,trigger,verification_rule_score,verification_bert_score,verification_combined_score,verification_candidate_rank,alternative_frame,alternative_rule_score,alternative_bert_score,alternative_combined_score,inspector,unconfirmed_content,medium,means,purpose,frame_elements_json,bert_model,bert_frame_method,bert_frame_status,bert_qa_status,source_occurrence_count,source_document_count,source_documents
1,To verify whether an enquiry was sent to processing.,Verification; Scrutiny,Verification,1230,verify,1.0,0.951,0.9951,1,Scrutiny,1.0,0.9449,0.9945,,an enquiry was sent to processing,,,,"{""Unconfirmed_content"":{""text"":""an enquiry was sent to processing"",""span"":{""start"":18,""end"":51},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2403,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cppoas/procedures/notes_warnings/consulting_notes/consulting_notes.json
2,Verify the status on the Application Dashboard.,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9317,0.9932,1,Scrutiny,1.0,0.9257,0.9926,,the status on the Application Dashboard,Application Dashboard,Application,,"{""Means"":{""text"":""Application"",""span"":{""start"":25,""end"":36},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""the status on the Application Dashboard"",""span"":{""start"":7,""end"":46},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1606,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Medium"":{""text"":""Application Dashboard"",""span"":{""start"":25,""end"":46},""implicit"":false,""method"":""bert_qa"",""confidence"":0.4728,""question"":""In the FrameNet frame Verification, the element Medium means: The Medium is the piece of text or work in which the Inspector verifies the Unconfirmed_content: 'Chapter four confirms the reader 's suspicions completely.' What text, record, screen, or work communicates the verification?"",""baseQuestion"":""What text, record, screen, or work communicates the verification?"",""frameElementDefinition"":""The Medium is the piece of text or work in which the Inspector verifies the Unconfirmed_content: 'Chapter four confirms the reader 's suspicions completely.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::ecc/temporary_foreign_worker_program/post_application_information/application_status/application_lmia_system/application_lmia_system.json
3,Verify if the client’s CPP banking information was updated in ITRDS .,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9571,0.9957,1,Scrutiny,1.0,0.9496,0.995,,the client’s CPP banking information,,banking information,,"{""Means"":{""text"":""banking information"",""span"":{""start"":27,""end"":46},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""the client’s CPP banking information"",""span"":{""start"":10,""end"":46},""implicit"":false,""method"":""bert_qa"",""confidence"":0.059,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cppoas/procedures/direct_deposit_change/add_update_dd/add_update_dd.json
4,Verify the application status and consult the table below.,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9344,0.9934,1,Scrutiny,1.0,0.925,0.9925,,the application status and consult the table below,Verify the application status and consult the table below,application,,"{""Means"":{""text"":""application"",""span"":{""start"":11,""end"":22},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""the application status and consult the table below"",""span"":{""start"":7,""end"":57},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1284,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Medium"":{""text"":""Verify the application status and consult the table below"",""span"":{""start"":0,""end"":57},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1356,""question"":""In the FrameNet frame Verification, the element Medium means: The Medium is the piece of text or work in which the Inspector verifies the Unconfirmed_content: 'Chapter four confirms the reader 's suspicions completely.' What text, record, screen, or work communicates the verification?"",""baseQuestion"":""What text, record, screen, or work communicates the verification?"",""frameElementDefinition"":""The Medium is the piece of text or work in which the Inspector verifies the Unconfirmed_content: 'Chapter four confirms the reader 's suspicions completely.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::ecc/temporary_foreign_worker_program/profile_lmia_changes/replacing_removing_changing_temporary_foreign_worker_names/replacing_removing_changing_temporary_foreign_worker_names.json
5,Verify if the client has an existing profile in IGCS.,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9658,0.9966,1,Scrutiny,1.0,0.9595,0.996,,an existing profile in IGCS,,IGCS,,"{""Means"":{""text"":""IGCS"",""span"":{""start"":48,""end"":52},""implicit"":false,""method"":""rule""},""Unconfirmed_content"":{""text"":""an existing profile in IGCS"",""span"":{""start"":25,""end"":52},""implicit"":false,""method"":""bert_qa"",""confidence"":0.0585,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cdb/processing_procedures/printed_appli_process/printed_appli_process.json
6,Verify the payment destination with the client.,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9257,0.9926,1,Scrutiny,1.0,0.9219,0.9922,,the payment destination with the client,,Verify the payment destination with the client,,"{""Unconfirmed_content"":{""text"":""the payment destination with the client"",""span"":{""start"":7,""end"":46},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1112,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Means"":{""text"":""Verify the payment destination with the client"",""span"":{""start"":0,""end"":46},""implicit"":false,""method"":""bert_qa"",""confidence"":0.2109,""question"":""In the FrameNet frame Verification, the element Means means: An action performed by the Inspector by which the Inspector manages to establish the truth of the Unconfirmed_content. 'We confirmed our results by repeating the experiment and measuring the output with a mass spec.' What action or evidence is used to establish the truth?"",""baseQuestion"":""What action or evidence is used to establish the truth?"",""frameElementDefinition"":""An action performed by the Inspector by which the Inspector manages to establish the truth of the Unconfirmed_content. 'We confirmed our results by repeating the experiment and measuring the output with a mass spec.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cppoas/procedures/payments/reissuing_redirecting_payment/reissuing_redirecting_payment.json
7,The CDB is unable to verify their information.,Verification; Scrutiny,Verification,1230,verify,1.0,0.9491,0.9949,1,Scrutiny,1.0,0.9407,0.9941,,information,,,,"{""Unconfirmed_content"":{""text"":""information"",""span"":{""start"":34,""end"":45},""implicit"":false,""method"":""bert_qa"",""confidence"":0.4351,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::cdb/procedures/sin_change/sin_change.json
8,To verify the status of any evaluation:,Verification; Assessing,Verification,1230,verify,1.0,0.9427,0.9943,1,Assessing,1.0,0.9447,0.9945,,any evaluation,,,,"{""Unconfirmed_content"":{""text"":""any evaluation"",""span"":{""start"":24,""end"":38},""implicit"":false,""method"":""bert_qa"",""confidence"":0.3911,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::common_procedures/seaq/exam_evaluation_seaq/exam_evaluation_seaq.json
9,Verify my profile – SIN or a SAN page,Verification; Scrutiny,Verification,1230,Verify,1.0,0.9317,0.9932,1,Scrutiny,1.0,0.9272,0.9927,,SIN or a SAN page,,,,"{""Unconfirmed_content"":{""text"":""SIN or a SAN page"",""span"":{""start"":20,""end"":37},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1043,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data2.zip::r_a/toolkit/training/msca_signin_notification_2/msca_signin_methods/msca_signin_methods.json
10,"When users enquire about the status of their pending request, verify the status of the BN:",Verification; Scrutiny,Verification,1230,verify,1.0,0.9638,0.9964,1,Scrutiny,1.0,0.9617,0.9962,,BN,,,,"{""Unconfirmed_content"":{""text"":""BN"",""span"":{""start"":87,""end"":89},""implicit"":false,""method"":""bert_qa"",""confidence"":0.1319,""question"":""In the FrameNet frame Verification, the element Unconfirmed_content means: An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.' What previously unconfirmed fact or proposition is verified?"",""baseQuestion"":""What previously unconfirmed fact or proposition is verified?"",""frameElementDefinition"":""An open proposition that the Inspector decides by examining evidence. It is usually a propostion put forward which some parties would disbelieve or contest. 'It is extremely difficult to confirm the absence of something.'""},""Inspector"":{""text"":null,""implicit"":true,""method"":""not_found""},""Medium"":{""text"":null,""implicit"":true,""method"":""not_found""},""Means"":{""text"":null,""implicit"":true,""method"":""not_found""}}",deepset/bert-base-cased-squad2,bert_embedding_frame_scorer,scored,scored,1,1,data1.zip::ecc/roe_web/processing_status/work_items/invalid_cra_status/invalid_cra_status.json
