item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item1_text,item2_text
2917,3222,dita_document:e7ec871c9f8f7b802dce,dita_document:4eb7071b4ad6eb0ce56a,1.0000004768371582,0.9999511,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_2918.dita,Important,,,note_c_2918.dita,,,dita_document,note_c_3223.dita,Important,,,note_c_3223.dita,,,"Important Important: Before imposing a D71, confirm that the file does not already include one. In such cases, if a transaction is input to impose a D71, the existing D71 is cancelled.","Important Important: Before imposing a D71, confirm that the file does not already include one. In such cases, if a transaction is input to impose a D71, the existing D71 is cancelled."
1782,2815,dita_document:3dfcd78376d07e0d4ec0,dita_document:d5e37383b524c2e0849a,1.0000003576278689,0.9995961,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_1783.dita,Note,,,note_c_1783.dita,,,dita_document,note_c_2816.dita,Note,,,note_c_2816.dita,,,"Note Note: To cancel multiple payments, repeat step 5 for each individual payment. Exclude third party deductions and OP recoupments from the Payment Cancellation - Duplicate Payment (T071) transaction by removing them from the Gross Benefits field and leaving the Deductions fields blank. To cancel a payment for an amount over $10 000, divide the payment and input it on 2 separate Payment Cancellation - Duplicate Payment (T071) transactions over 2 days. Inputting a Payment Cancellation - Duplicate Payment (T071) transaction type 2 (T071-2) removes the benefits paid from the client’s tax file for the current year. Therefore, the payment is not included on the next T4E. For more information, refer to T071: Payment Cancellation - Duplicate payment — Transactions , if necessary. T071: Payment Cancellation - Duplicate payment — Transactions T071: Payment Cancellation - Duplicate payment — Transactions","Note Note: To cancel multiple payments, repeat step 5 for each individual payment. Exclude third party deductions and OP recoupments from the Payment Cancellation - Duplicate Payment (T071) transaction by removing them from the Gross Benefits field and leaving the Deductions fields blank. To cancel a payment for an amount over $10 000, divide the payment and input it on 2 separate Payment Cancellation - Duplicate Payment (T071) transactions over 2 days. Inputting a Payment Cancellation - Duplicate Payment (T071) transaction type 2 (T071-2) removes the benefits paid from the client’s tax file for the current year. Therefore, the payment is not included on the next T4E. For more information, refer to T071: Payment Cancellation - Duplicate payment — Transactions , if necessary. T071: Payment Cancellation - Duplicate payment — Transactions T071: Payment Cancellation - Duplicate payment — Transactions"
3368,3370,dita_document:1b09197aaed4fca1d51c,dita_document:0d6532912d1bb48d548b,1.0000003576278689,0.99986774,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_3369.dita,Warning,,,note_c_3369.dita,,,dita_document,note_c_3371.dita,Warning,,,note_c_3371.dita,,,"Warning Warning: If fraudulent activity is suspected on a claim, the officer does not issue an access code. For more information, refer to Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions . Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions","Warning Warning: If fraudulent activity is suspected on a claim, the officer does not issue an access code. For more information, refer to Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions . Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions Referral to Integrity: Temporary measures and fraudulent EI and EI ERB claims — Instructions"
4173,4286,dita_document:915463235095d186f90a,dita_document:75241d8d4d76a501fe07,1.0000003576278689,0.9992122,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_4174.dita,Note,,,note_c_4174.dita,,,dita_document,note_c_4287.dita,Note,,,note_c_4287.dita,,,"Note Note: For additional information concerning online transactions, refer to the Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide . Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide","Note Note: For additional information concerning online transactions, refer to the Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide . Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide Purge and recreate: Information on purging claims, EDS reports and APRS trailers — Input guide"
1912,1919,dita_document:64ab2068ba272e96fb1f,dita_document:2d6b14cad43c9bea1fa6,1.0000003576278689,0.9992727,duplicate/semantic duplicate,"CrossEncoder, embedding, and lexical overlap strongly support duplication.",False,cross_encoder,not_needed,dita_document,note_c_1913.dita,Info,,,note_c_1913.dita,,,dita_document,note_c_1920.dita,Info,,,note_c_1920.dita,,,"Info Examples — Allocation when the ELWW are less than the NWE Example 1: LDW: w/c 2388 NWE: $700 ELWW: $300 Total amount of separation monies paid: $2 500 The ELWW ($300) are topped up with $400 from the separation monies paid. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 100 in separation monies. The balance of the separation monies paid is divided by the NWE and allocated to the next 3 weeks at the NWE of $700. w/c Allocation amount Balance 2388 $400 $2 100 2389 $700 $1 400 2390 $700 $700 2391 $700 $0 Example 2: LDW: w/c 2419 NWE: $1 210.50 ELWW: $726.25 Total amount of separation monies paid: $3 145.75 Allocation calculation: w/c 2419: ELWW $726.25 + $484.25 w/c 2420: $1 210.50 w/c 2421: $1 210.50 w/c 2422: $240.50 The ELWW ($726.25) are topped up with $484.25 from the separation monies paid. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 661.50 in separation monies. The balance of the separation monies is divided by the NWE ($1 210.50) and allocated to w/c 2420 and w/c 2421 at the NWE of $1 211 (rounded). A balance of $241 (rounded) is allocated to w/c 2422. w/c Allocation amount Balance 2419 $484 $2 661.50 2420 $1 211 $1 451 2421 $1 211 $240.50 2422 $241 $0 Example 3: LDW: w/c 2420 NWE: $800 ELWW: 350.65 Total amount of separation monies paid: $3 145.75 Allocation calculation: w/c 2420: ELWW $350.65 + $449.35 w/c 2421: $800 w/c 2422: $800 w/c 2423: $800 w/c 2424: $296.40 The ELWW ($350.65) are topped up with $449.35 from the separation monies paid. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 696.40. The balance of the separation monies is divided by the NWE ($800) and allocated from w/c 2421 to w/c 2423 at the NWE of $800. A balance of $296 (rounded) is allocated to w/c 2424. w/c Allocation amount Balance 2420 $449 $2 696.40 2421 $800 $1 896.40 2422 $800 $1 096.40 2423 $800 $296.40 2424 $296 $0","Info Examples — Allocation when the ELWW are less than the NWE Example 1: LDW: w/c 2388 NWE: $700 ELWW: $300 Total amount of separation monies paid: $2 500 The ELWW ($300) are topped up with $400 from the separation monies paid. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 100 in separation monies. The balance of the separation monies paid is divided by the NWE and allocated to the next 3 weeks at the NWE of $700. w/c Allocation amount Balance 2388 $400 $2 100 2389 $700 $1 400 2390 $700 $700 2391 $700 $0 Example 2: LDW: w/c 2419 NWE: $1 210.50 ELWW: $726.25 Total amount of separation monies paid: $3 145.75 Allocation calculation: w/c 2419: ELWW $726.25 + $484.25 w/c 2420: $1 210.50 w/c 2421: $1 210.50 w/c 2422: $240.50 The ELWW ($726.25) are topped up with $484.25 from the separation monies. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 661.50 in separation monies. The balance of the separation monies is divided by the NWE ($1 210.50) and allocated to w/c 2420 and w/c 2421 at the NWE of $1 211 (rounded). A balance of $241 (rounded) is allocated to w/c 2422. w/c Allocation amount Balance 2419 $484 $2 661.50 2420 $1 211 $1 451 2421 $1 211 $240.50 2422 $241 $0 Example 3: LDW: w/c 2420 NWE: $800 ELWW: $350.65 Total amount of separation monies paid: $3 145.75 Allocation calculation: w/c 2420: ELWW $350.65 + $449.35 w/c 2421: $800 w/c 2422: $800 w/c 2423: $800 w/c 2424: $296.40 The ELWW ($350.65) are topped up with $449.35 from the separation monies paid. This brings the amount paid for the last week worked up to NWE, leaving a balance of $2 696.40. The balance of the separation monies is divided by the NWE ($800) and allocated from w/c 2421 to w/c 2423 at the NWE of $800. A balance of $296 (rounded) is allocated to w/c 2424. w/c Allocation amount Balance 2420 $449 $2 696.40 2421 $800 $1 896.40 2422 $800 $1 096.40 2423 $800 $296.40 2424 $296 $0"
3895,3907,dita_document:31b3a3b98e1cf5a61b1d,dita_document:59a216c92e1096e8a235,1.0000003576278689,0.99983865,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_3896.dita,Note,,,note_c_3896.dita,,,dita_document,note_c_3908.dita,Note,,,note_c_3908.dita,,,Note Note: Immediate family members are defined under EIR 55(2) . Close relatives are defined under EIR 55(1)(b) . EIR 55(2) EIR 55(1)(b) EIR 55(2) EIR 55(1)(b),Note Note: Immediate family members are defined under EIR 55(2) . Close relatives are defined under EIR 55(1)(b) . EIR 55(2) EIR 55(1)(b) EIR 55(2) EIR 55(1)(b)
4457,4608,dita_document:265e9698a6c1336ef28c,dita_document:34b9ddc40fbc9661d722,1.000000238418579,0.9999259,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_4458.dita,Note,,,note_c_4458.dita,,,dita_document,note_c_4609.dita,Note,,,note_c_4609.dita,,,Note Note: This task is only used by Level 2 officers who are part of the specialized team actioning fraudulent EI claims.,Note Note: This task is only used by Level 2 officers who are part of the specialized team actioning fraudulent EI claims.
332,352,dita_document:e81513d0cbed892b70e7,dita_document:4e846b71103990207a76,1.0000001192092896,0.99989575,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0333.dita,Note,,,note_c_0333.dita,,,dita_document,note_c_0353.dita,Note,,,note_c_0353.dita,,,Note Note: Availability must also be adjudicated when the client is out of Canada and in receipt of regular benefits. Please refer to the Availability section of this policy. Availability Availability,Note Note: Availability must also be adjudicated when the client is out of Canada and in receipt of regular benefits. Please refer to the Availability section of this policy. Availability Availability
390,437,dita_document:f806c1da7f95715e91b8,dita_document:5d26026b1e873e061119,1.0000001192092896,0.99916595,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0391.dita,Note,,,note_c_0391.dita,,,dita_document,note_c_0438.dita,Note,,,note_c_0438.dita,,,"Note Note: A temporary measure under Pilot Project No. 24 applies to separation monies paid due to a separation from employment on claims with a BPC or allocation start date between March 30, 2025 (w/c 2493) and October 10 , 2026 (w/c 2572 ). When separation monies are paid for that period, they are not allocated. Separation monies that are not allocated cannot extend a BP. This measure applies to all BTs for initial, renewal and continuing claims. For more information, refer to BE Memo BE-2025-05 . BE Memo BE-2025-05 BE Memo BE-2025-05","Note Note: A temporary measure under Pilot Project No. 24 applies to separation monies paid due to a separation from employment on claims with a BPC or allocation start date between March 30, 2025 (w/c 2493) and October 10 , 2026 (w/c 2572 ). When separation monies are paid for that period, they are not allocated. Separation monies that are not allocated cannot extend a BP. This measure applies to all BTs for initial, renewal and continuing claims. For more information, refer to BE Memo BE-2025-05 . BE Memo BE-2025-05 BE Memo BE-2025-05"
1914,1928,dita_document:d3d5a82ef3666236dc11,dita_document:14389637be907ee9734f,1.0000001192092896,0.999896,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_1915.dita,Info,,,note_c_1915.dita,,,dita_document,note_c_1929.dita,Info,,,note_c_1929.dita,,,Info Example of transaction Type Amount Start date End date Last week amount C or S $400 2388 2388 C or S $700 2389 2391,Info Example of transaction Type Amount Start date End date Last week amount C or S $400 2388 2388 C or S $700 2389 2391
