item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status
2917,3222,dita_document:e7ec871c9f8f7b802dce,dita_document:4eb7071b4ad6eb0ce56a,1.0000004768371582,0.9999511,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1782,2815,dita_document:3dfcd78376d07e0d4ec0,dita_document:d5e37383b524c2e0849a,1.0000003576278689,0.9995961,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3368,3370,dita_document:1b09197aaed4fca1d51c,dita_document:0d6532912d1bb48d548b,1.0000003576278689,0.99986774,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
4173,4286,dita_document:915463235095d186f90a,dita_document:75241d8d4d76a501fe07,1.0000003576278689,0.9992122,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1912,1919,dita_document:64ab2068ba272e96fb1f,dita_document:2d6b14cad43c9bea1fa6,1.0000003576278689,0.9992727,duplicate/semantic duplicate,"CrossEncoder, embedding, and lexical overlap strongly support duplication.",False,cross_encoder,not_needed
3895,3907,dita_document:31b3a3b98e1cf5a61b1d,dita_document:59a216c92e1096e8a235,1.0000003576278689,0.99983865,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
4457,4608,dita_document:265e9698a6c1336ef28c,dita_document:34b9ddc40fbc9661d722,1.000000238418579,0.9999259,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
332,352,dita_document:e81513d0cbed892b70e7,dita_document:4e846b71103990207a76,1.0000001192092896,0.99989575,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
390,437,dita_document:f806c1da7f95715e91b8,dita_document:5d26026b1e873e061119,1.0000001192092896,0.99916595,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1914,1928,dita_document:d3d5a82ef3666236dc11,dita_document:14389637be907ee9734f,1.0000001192092896,0.999896,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2470,2474,dita_document:13d61af5e4e31b932eb3,dita_document:753c2b7abed1fb090689,1.0000001192092896,0.99988765,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2650,3353,dita_document:c9d75a2a7411ccf995f6,dita_document:f841f6e4f64892c055bf,1.0000001192092896,0.9999127,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
2693,3312,dita_document:d05ccbdcfca9ac1a8cde,dita_document:2917731c9e63ece71992,1.0000001192092896,0.9999496,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3262,4981,dita_document:c5997cf2e26188a23619,dita_document:1bf3be5b1bd5a7687594,1.0000001192092896,0.9997932,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3354,3928,dita_document:c48c2c8ad30ca2fdfa75,dita_document:ac4aa43973ad2f9d1dcb,1.0000001192092896,0.9998889,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
3396,3397,dita_document:ce26b596fb598c78f5b7,dita_document:9c9109de82f241640bec,1.0000001192092896,0.99981636,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
