item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item1_text,item2_text
20,2800,dita_document:887ebde472248445112b,dita_document:5a01cde7708711578153,1.0000003576278689,0.99983233,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0021.dita,Remarque,,,note_c_0021.dita,,,dita_document,note_c_2801.dita,Remarque,,,note_c_2801.dita,,,"Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises","Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises"
20,2832,dita_document:887ebde472248445112b,dita_document:c8ed1485d01e5f3c6d97,1.0000003576278689,0.99983233,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0021.dita,Remarque,,,note_c_0021.dita,,,dita_document,note_c_2833.dita,Remarque,,,note_c_2833.dita,,,"Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises","Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises"
3356,4416,dita_document:a4d3b676a8d824562f2f,dita_document:a73f2be340d60497e522,1.0000003576278689,0.9998931,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_3357.dita,Important,,,note_c_3357.dita,,,dita_document,note_c_4417.dita,Important,,,note_c_4417.dita,,,"Important Important : Avant d’imposer une inadmissibilité D71, confirmez que le dossier n’en contient pas déjà une. Dans ce cas, si une transaction est entrée pour imposer une inadmissibilité D71, l’inadmissibilité D71 actuelle est annulée.","Important Important : Avant d’imposer une inadmissibilité D71, confirmez que le dossier n’en contient pas déjà une. Dans ce cas, si une transaction est entrée pour imposer une inadmissibilité D71, l’inadmissibilité D71 actuelle est annulée."
3394,3995,dita_document:69dd5b0af7869c362f9c,dita_document:97c2018ca5b19cbc665d,1.0000003576278689,0.9996378,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_3395.dita,Remarque,,,note_c_3395.dita,,,dita_document,note_c_3996.dita,Remarque,,,note_c_3996.dita,,,"Remarque Remarque: Si un RE papier pourrait être frauduleux, ne pas effectuer de recueil de faits auprès de l’employeur ou saisir le RE. Consulter Section 8 : Présence d’indicateurs de fraude . Section 8 : Présence d’indicateurs de fraude Section 8 : Présence d’indicateurs de fraude","Remarque Remarque: Si un RE papier pourrait être frauduleux, ne pas effectuer de recueil de faits auprès de l’employeur ou saisir le RE. Consulter Section 8 : Présence d’indicateurs de fraude . Section 8 : Présence d’indicateurs de fraude Section 8 : Présence d’indicateurs de fraude"
4170,4277,dita_document:ba0cee525f54071e602c,dita_document:f17ab623be0b06c38684,1.0000003576278689,0.999815,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_4171.dita,Remarque,,,note_c_4171.dita,,,dita_document,note_c_4278.dita,Remarque,,,note_c_4278.dita,,,"Remarque Remarque : Une recommandation d’un Tribunal de défalquer une dette n’est pas un appel ni une révision d’une décision établissant la dette en vertu de LAE 47(4) . Par conséquent, le recouvrement est rétabli dans PSCD. LAE 47(4) LAE 47(4)","Remarque Remarque : Une recommandation d’un Tribunal de défalquer une dette n’est pas un appel ni une révision d’une décision établissant la dette en vertu de LAE 47(4) . Par conséquent, le recouvrement est rétabli dans PSCD. LAE 47(4) LAE 47(4)"
2800,2832,dita_document:5a01cde7708711578153,dita_document:c8ed1485d01e5f3c6d97,1.0000003576278689,0.99983233,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_2801.dita,Remarque,,,note_c_2801.dita,,,dita_document,note_c_2833.dita,Remarque,,,note_c_2833.dita,,,"Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises","Remarque Remarque : S’il y a une violation au dossier du client, il se peut qu’il y ait une majoration des conditions requises . majoration des conditions requises majoration des conditions requises"
3130,3131,dita_document:71fa58392f976239d7ef,dita_document:54553dbba3eceb809d1a,1.0000003576278689,0.99764735,duplicate/semantic duplicate,"CrossEncoder, embedding, and lexical overlap strongly support duplication.",False,cross_encoder,not_needed,dita_document,note_c_3131.dita,Callout,,,note_c_3131.dita,,,dita_document,note_c_3132.dita,Callout,,,note_c_3132.dita,,,"Callout salaires, avantages ou toute autre rétribution provenant de tout emploi salaires, avantages ou toute autre rétribution provenant de la faillite d’un employeur indemnités d’accident du travail (sauf les sommes forfaitaires ou les pensions versées en guise de règlement total et définitif) un des paiements suivants : régime collectif d’assurance-salaire congés payés de maladie, de maternité ou d’adoption régime non approuvé de prestations supplémentaires de chômage (PSC) régime de congés payés pour soins à donner à un ou plusieurs enfants visés à LAE 23(1) ou 152.05(1) LAE 23(1) 152.05(1) régime de congés payés pour soins ou soutien donnés à un membre de la famille visé à LAE 23.1(2) ou 152.06(1) LAE 23.1(2) 152.06(1) régime de congés payés pour soins ou soutien donnés à un enfant gravement malade régime d’assurance-automobile prévu par une loi provinciale pour la perte réelle ou présumée du revenu d’un emploi par suite de blessure versements périodiques ou montant forfaitaire au titre ou au lieu d’une pension prestation après-retraite du Régime des pensions du Canada (RPC) indemnités de retrait préventif que le client a reçues du fait qu’il a cessé de travailler parce que la continuation de son travail mettait en danger l’une des personnes suivantes : le client l’enfant à naître de la cliente l’enfant qu’allaite la cliente","Callout salaires, avantages ou toute autre rétribution provenant de tout emploi salaires, avantages ou toute autre rétribution provenant de la faillite d’un employeur indemnités d’accident du travail (sauf les sommes forfaitaires ou les pensions versées en guise de règlement total et définitif) un des paiements suivants : régime collectif d’assurance-salaire congés payés de maladie, de maternité ou d’adoption régime non approuvé de prestations supplémentaires de chômage (PSC) régime de congés payés pour soins à donner à un ou plusieurs enfants visés à LAE 23(1) ou 152.05(1) LAE 23(1) 152.05(1) régime de congés payés pour soins ou soutien donnés à un membre de la famille visé à LAE 23.1(2) ou 152.06(1) LAE 23.1(2) 152.06(1) régime de congés payés pour soins ou soutien donnés à un enfant gravement malade régime d’assurance-automobile prévu par une loi provinciale pour la perte réelle ou présumée du revenu d’un emploi par suite de blessure versements périodiques ou montant forfaitaire au titre ou au lieu d’une pension prestations après-retraite du RPC indemnités de retrait préventif que le client a reçues du fait qu’il a cessé de travailler parce que la continuation de son travail mettait en danger l’une des personnes suivantes : le client l’enfant à naître de la cliente l’enfant qu’allaite la cliente"
2255,2276,dita_document:05874dd2de94170439ef,dita_document:1a3a0ca81a8093817477,1.000000238418579,0.9997953,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_2256.dita,Remarque,,,note_c_2256.dita,,,dita_document,note_c_2277.dita,Remarque,,,note_c_2277.dita,,,"Remarque Remarque : Ne pas inclure le NAS du client ou toute image dans le courriel ou le certificat médical. Si un NAS ou une image est consigné dans le certificat médical, il doit être caviardé avant d’envoyer le certificat médical.","Remarque Remarque : Ne pas inclure le NAS du client ou toute image dans le courriel ou le certificat médical. Si un NAS ou une image est consigné dans le certificat médical, il doit être caviardé avant d’envoyer le certificat médical."
1678,3260,dita_document:641c3f7c9890f2f8f0a0,dita_document:20c710181bfa766033fc,1.000000238418579,0.9985164,duplicate/semantic duplicate,"CrossEncoder, embedding, and lexical overlap strongly support duplication.",False,cross_encoder,not_needed,dita_document,note_c_1679.dita,Exemple de régime de travail régulier sans accroissement des heures,,,note_c_1679.dita,,,dita_document,note_c_3261.dita,Exemple de régime de travail régulier sans accroissement des heures,,,note_c_3261.dita,,,"Exemple de régime de travail régulier sans accroissement des heures Exemple de régime de travail régulier sans accroissement des heures Deux collègues travaillent dans le domaine des soins à domicile de compagnie, et prennent soin d’un client aîné. Ils effectuent en alternance 35 heures par semaine de travail, puis obtiennent une semaine de congé. Les employés et l’employeur ont convenu de ce type d’horaire de travail. La Loi sur les normes d’emploi de la province de travail indique qu’une semaine de travail de 40 heures est considérée comme un emploi à temps plein. Étant donné que les employés ne travaillent pas et ne sont pas rémunérés une semaine sur 2, ils demandent des prestations d’AE pour la semaine pendant laquelle ils ne travaillent pas. Dans ce cas, il y a une entente entre l’employeur et les employés en ce qui a trait au régime de travail. Cependant, les employés ne travaillent pas un nombre excessif d’heures et ne sont pas rémunérés pour les semaines pendant lesquelles ils ne travaillent pas. Des prestations d’AE peuvent être payables pour les semaines pendant lesquelles le client ne travaille pas, s’il peut prouver qu’il respectent les exigences relatives à la disponibilité pendant sa semaine de congé.","Exemple de régime de travail régulier sans accroissement des heures Exemple de régime de travail régulier sans accroissement des heures Deux collègues travaillent dans le domaine des soins à domicile de compagnie, et prennent soin d’un client aîné. Ils effectuent en alternance 35 heures par semaine de travail, puis obtiennent une semaine de congé. Les employés et l’employeur ont convenu de ce type d’horaire de travail. La Loi sur les normes d’emploi de la province de travail indique qu’une semaine de travail de 40 heures est considérée comme un emploi à temps plein. Étant donné que les employés ne travaillent pas et ne sont pas rémunérés une semaine sur 2, ils demandent des prestations d’AE pour la semaine pendant laquelle ils ne travaillent pas. Dans ce cas, il y a une entente entre l’employeur et les employés en ce qui a trait au régime de travail. Cependant, les employés ne travaillent pas un nombre excessif d’heures et ne sont pas rémunérés pour les semaines pendant lesquelles ils ne travaillent pas. Des prestations d’AE peuvent être payables pour les semaines pendant lesquelles le client ne travaille pas, s’il peut prouver qu’il respecte les exigences relatives à la disponibilité pendant sa semaine de congé."
3398,4809,dita_document:83a6beb6ef1ce770c42f,dita_document:6bcb956d85cf0795860d,1.000000238418579,0.9998801,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_3399.dita,Important,,,note_c_3399.dita,,,dita_document,note_c_4810.dita,Important,,,note_c_4810.dita,,,"Important Important: Avant d’imposer une inadmissibilité D71, confirmer que le dossier n’en contient pas déjà une. Dans ce cas, si une transaction pour imposer une inadmissibilité D71 est saisie alors qu’il y en a déjà une au dossier, l’inadmissibilité D71 existante est annulée.","Important Important: Avant d’imposer une inadmissibilité D71, confirmer que le dossier n’en contient pas déjà une. Dans ce cas, si une transaction pour imposer une inadmissibilité D71 est saisie alors qu’il y en a déjà une au dossier, l’inadmissibilité D71 existante est annulée."
410,412,dita_document:2bdb38c7f8111a52352a,dita_document:af9d250584efb4dd7d8e,1.0000001192092896,0.9999005,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0411.dita,Remarque,,,note_c_0411.dita,,,dita_document,note_c_0413.dita,Remarque,,,note_c_0413.dita,,,Remarque Remarque : Utiliser le modèle de lettre pour fournir les renseignements au syndic. modèle de lettre modèle de lettre,Remarque Remarque : Utiliser le modèle de lettre pour fournir les renseignements au syndic. modèle de lettre modèle de lettre
901,3317,dita_document:65b36f3852522f6fa44f,dita_document:8c0115db814ecfeda7d4,1.0000001192092896,0.9998766,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0902.dita,Important,,,note_c_0902.dita,,,dita_document,note_c_3318.dita,Important,,,note_c_3318.dita,,,"Important Important : Avant d’imposer une inadmissibilité D71, l’agent confirme qu’il n’y en a pas déjà une d’imposée. Si l’agent saisit une transaction pour imposer une inadmissibilité D71 alors qu’il en existe déjà une au dossier, l’inadmissibilité D71 sera annulée.","Important Important : Avant d’imposer une inadmissibilité D71, l’agent confirme qu’il n’y en a pas déjà une d’imposée. Si l’agent saisit une transaction pour imposer une inadmissibilité D71 alors qu’il en existe déjà une au dossier, l’inadmissibilité D71 sera annulée."
1847,1850,dita_document:5e0cf095284f77f8bbed,dita_document:9d63b4ffd0953ac10293,1.0000001192092896,0.9996245,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_1848.dita,Remarque,,,note_c_1848.dita,,,dita_document,note_c_1851.dita,Remarque,,,note_c_1851.dita,,,"Remarque Remarque : Pour répartir les IAT ou les indemnités d’assurance-automobile, consulter Considérations régionales pour les différences selon la province. Considérations régionales Considérations régionales","Remarque Remarque : Pour répartir les IAT ou les indemnités d’assurance-automobile, consulter Considérations régionales pour les différences selon la province. Considérations régionales Considérations régionales"
