item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item1_text,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item2_text
594,595,dita_document:33b7923d9f67d9f57f82,dita_document:73e5b837c702d69bd845,1.0000004768371582,0.9995999,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0595.dita,Note,,,note_c_0595.dita,,,"Note Warning: If you send a file from International Operations (IO), ensure that any information (e.g. periods of foreign contributions or residence, foreign benefit information, liaison forms) obtained from Jamaica, Japan or the United States is not sent to the Integrity Services Branch (ISB). This information is restricted and cannot be shared outside of IO. Any other documents on file must be sent. For more information, International Operations—Sharing information obtained under an International Social Security Agreement (Knowledge) International Operations—Sharing information obtained under an International Social Security Agreement (Knowledge)",dita_document,note_c_0596.dita,Note,,,note_c_0596.dita,,,"Note Warning: If you send a file from International Operations (IO), ensure that any information (e.g. periods of foreign contributions or residence, foreign benefit information, liaison forms) obtained from Jamaica, Japan or the United States is not sent to the Integrity Services Branch (ISB). This information is restricted and cannot be shared outside of IO. Any other documents on file must be sent. For more information, International Operations—Sharing information obtained under an International Social Security Agreement (Knowledge) International Operations—Sharing information obtained under an International Social Security Agreement (Knowledge)"
5143,5145,dita_document:11fa3b3ab8cc7e672567,dita_document:5ee6e92301b5002758cd,1.0000003576278689,0.99971217,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_5144.dita,Note,,,note_c_5144.dita,,,"Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations",dita_document,note_c_5146.dita,Note,,,note_c_5146.dita,,,"Note Alerte de la SV : Pour consigner et appliquer une rentrée de fonds, consultez Plus-payés, Remises et Radiations (Procédures opérationnelles de la SV). Pour renverser, supprimer ou ajuster une rentrée de fonds, consultez votre matériel d’orientation existant. Plus-payés, Remises et Radiations Plus-payés, Remises et Radiations"
5870,5874,dita_document:103c5fd71f346309737f,dita_document:4a9c8293e3173718455e,1.000000238418579,0.9995827,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_5871.dita,Note,,,note_c_5871.dita,,,"Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues",dita_document,note_c_5875.dita,Note,,,note_c_5875.dita,,,"Note Alerte de la SV : Pour des renseignements sur les méthodes alternatives de recouvrement, consultez les documents d’orientation suivants : Plus-payés, Remises et radiations (Procédures opérationnelles de la SV) Plus-payés, Remises et radiations Plus-payés (Orientation et procédures fonctionnelles) Plus-payés Retenues (Manuel de l’utilisateur du système en direct de la SV – Ce document de référence n’est pas la propriété et n’est pas maintenu par l’Outil de gestion du savoir.) Retenues Plus-payés, Remises et radiations Plus-payés Retenues"
209,363,dita_document:71f06fd4ba97ba980f8e,dita_document:ff1bc30652db77d9ff6e,1.0000001192092896,0.99966896,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0210.dita,Note,,,note_c_0210.dita,,,"Note Note: Data capture the witness's information from the application in the Contact screen, if applicable. While this is not mandatory to submit the application data capture, it may assist in subsequent reviews of the account (e.g. administrative investigation). Information Only Contacts—Add, Modify or Delete Information Only Contacts—Add, Modify or Delete",dita_document,note_c_0364.dita,Note,,,note_c_0364.dita,,,"Note Note: Data capture the witness's information from the application in the Contact screen, if applicable. While this is not mandatory to submit the application data capture, it may assist in subsequent reviews of the account (e.g. administrative investigation). Information Only Contacts—Add, Modify or Delete Information Only Contacts—Add, Modify or Delete"
880,1031,dita_document:b3d920b9940abdf6652f,dita_document:13057b4bf33b1b3b086a,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0881.dita,Note,,,note_c_0881.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)",dita_document,note_c_1032.dita,Note,,,note_c_1032.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)"
880,1121,dita_document:b3d920b9940abdf6652f,dita_document:e804be1855f1a8392be7,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0881.dita,Note,,,note_c_0881.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)",dita_document,note_c_1122.dita,Note,,,note_c_1122.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)"
1031,1121,dita_document:13057b4bf33b1b3b086a,dita_document:e804be1855f1a8392be7,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_1032.dita,Note,,,note_c_1032.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)",dita_document,note_c_1122.dita,Note,,,note_c_1122.dita,,,"Note Note: Conflicting information must be clarified before a benefit can be paid. If, after review, you determine that a client has given false or misleading information about their marital status, refer to Referral Process for Administrative Investigations—CPP (Scenario) or Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario) Referral Process for Administrative Investigations—CPP (Scenario) Referral Process for Administrative Investigations—OAS (Scenario)"
197,2586,dita_document:b2d727a0b5a59db69835,dita_document:89bfd46279ace20ae529,1.0,0.99990964,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0198.dita,Note,,,note_c_0198.dita,,,"Note Note: The agreement with Manitoba was terminated on April 17, 2024. Valid ISP1619 forms received up to that date are accepted.",dita_document,note_c_2587.dita,Note,,,note_c_2587.dita,,,"Note Note : The agreement with Manitoba was terminated on April 17, 2024. Valid ISP1619 forms received up to that date are accepted."
239,354,dita_document:3f3e4461a68e91e57800,dita_document:da5b5faf8487f24bd286,1.0,0.99962145,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0240.dita,Note,,,note_c_0240.dita,,,"Note Note: Data capture the information of the witness of the application in the Contact screen, if applicable. This is not mandatory in order to submit the application data capture but may assist in subsequent reviews of the account (e.g. administrative investigation). Information Only Contacts—Add, Modify or Delete Information Only Contacts—Add, Modify or Delete",dita_document,note_c_0355.dita,Note,,,note_c_0355.dita,,,"Note Note : Data capture the information of the witness of the application in the Contact screen, if applicable. This is not mandatory in order to submit the application data capture but may assist in subsequent reviews of the account (e.g. administrative investigation). Information Only Contacts—Add, Modify or Delete Information Only Contacts—Add, Modify or Delete"
241,503,dita_document:3c840cac5ba86a50ca66,dita_document:cdbd67fb178eec8c3cbf,1.0,0.9999379,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,note_c_0242.dita,Note,,,note_c_0242.dita,,,Note Note: Proof of birth is not required in order to force deny an application.,dita_document,note_c_0504.dita,Note,,,note_c_0504.dita,,,Note Note: Proof of birth is not required in order to force deny an application
