letter,map_order,family,title,path,heading_path,empty,signature,words,resolved_text
C,1,Summary,Summary,en_EN/task/roe_rts/summary.dita,,False,a9992b684ac799c7b3ccea02,54,"Summary: When an ROE is received with a reason for separation (RFS) C - Return to school on an initial Web application, if the system is unable to create a link between the ROE and a matching period of employment or determine if the issue requires adjudication, an ROE Issue (ROE) RFS Action WI is created."
C,2,What you need to know,What you need to know,en_EN/task/roe_rts/what_you_need_to_know.dita,,True,dc108a1971e107900aae06b0,0,
C,3,What you need to know / Linking the ROE and matching employment,Linking the ROE and the matching period of employment,en_EN/task/roe_rts/linking_the_roe_and_the_matching_period_f71580ff.dita,What you need to know,False,9509ae69413991e76c29c5fe,579,"When an ROE RFS Action WI is received and a link has not yet been created between the ROE and a period of employment, the Non-complex agent must review the applicable ROE in RCM and the periods of employment listed in NWS. The Non-complex agent determines if one of the periods of employment listed in NWS matches the employer’s name on the ROE. Variations in the employer’s name Minor spelling differences between the employer’s name on the ROE and the period of employment are accepted. The agent must also consider that the employer may do business under more than one name. For example, the ROE indicates that the employer’s name is 123456 ONT Inc., but the client reported working for ABC Company. If the documentation on file or the Employer search (by business number) in FTS indicates that 123456 ONT Inc. operates as ABC Company, the names are equivalent and considered to be a match. Reviewing the dates on the ROE Only one ROE can be matched to each period of employment listed in NWS. The agent must review the Search / Correct - Results screen in RCM to determine if the ROE in the ROE RFS Action WI is the one with the last day for which paid (LDP) closest to the last day worked (LDW) for one of the periods of employment. The agent creates a link between the ROE and the period of employment with the matching employer’s name and best match for LDP and LDW. If either the employer’s name does not match or the LDP and LDW are not a good match, the agent does not create a link between the ROE and the period of employment. More than one ROE for one period of employment There may be more than one ROE but only one period of employment for the same employer. Example 1 Period of employment information declared on application: Callout Search / Correct - Results in RCM: SN Employer FDW / TSD LDP / TED Modified Input RFS Audit EHF W12345678 ABC Company 01/10/2015 04/12/2015 22/12/2015 22/12/2015 C W12341234 ABC Company 01/01/2014 28/08/2015 22/12/2015 22/12/2015 C ROE RFS Action WI #1 for W12345678 The agent completes the period of employment information section as follows: Matching POE : Select ABC Company . ROE RFS Action WI #2 for W12341234 The agent completes the period of employment information section as follows: Matching POE : Select POE not in the list . There may also be more than one period of employment for the same employer. Example 2 Period of employment information declared on application: Callout Callout Search / Correct - Results in RCM: SN Employer FDW / TSD LDP / TED Modified Input RFS Audit EHF W12345678 ABC Company 01/10/2015 04/12/2015 22/12/2015 22/12/2015 C W12341234 ABC Company 01/01/2014 28/08/2015 22/12/2015 22/12/2015 C ROE RFS Action WI #1 for W12345678 The agent completes the period of employment information section as follows: Matching POE : Select ABC Company (LDW 30/11/2015). ROE RFS Action WI #2 for W12341234 The agent completes the period of employment information section as follows: Matching POE : Select ABC Company (LDW 14/08/2015). ROE already linked If the ROE is linked to a period of employment with a corresponding electronic record of decision (ROD) or an outstanding Adjudication Issue (ADJ) WI, the ROE RFS Action WI is completed without further action by the Non-complex agent."
C,4,What you need to know / Completing the Resolve Issue section,Completing the Resolve Issue section,en_EN/task/roe_rts/completing_the_resolve_issue_section.dita,What you need to know,False,02353adf53868da013ece5e8,183,"If the ROE is not linked to a period of employment or if the ROE is linked to a period of employment without a corresponding electronic ROD or ADJ WI, the agent must complete the Resolve Issue section of the ROE RFS Action WI before completing the WI. When resolving the issue, the agent must review the ROE and the existing RODs. Comments in block 18 If the ROE was issued with comments in block 18 , the agent must determine if the correct RFS is indicated on the ROE. Any required changes to the RFS details must be made in the Resolve Issue tab of the ROE RFS Action WI. Note Reviewing existing records of decision (RODs) on file If the RFS is contentious and there is an existing ROD, the agent must determine if the information on the ROE contradicts the decision on file. When a ROD is not found or when the information on the ROE contradicts the ROD, the agent indicates that no decision matches the ROE when completing the Resolve Issue section of the ROE RFS Action WI. Note"
C,5,What you need to know / note_c_4692,Callout,en_EN/common_notes/note_c_4692.dita,What you need to know,False,76b67061b7ef7ef00b7e4e83,19,Employer: ABC Company First day worked: 01/01/2014 Last day worked: 04/12/2015 Reason for separation: Quit
C,6,What you need to know / note_c_4693,Callout,en_EN/common_notes/note_c_4693.dita,What you need to know,False,c7d1c5d9db58f96dd2a2acb8,19,Employer: ABC Company First day worked: 01/10/2015 Last day worked: 30/11/2015 Reason for separation: Quit
C,7,What you need to know / note_c_4694,Callout,en_EN/common_notes/note_c_4694.dita,What you need to know,False,35334b29e8fd3ace308d6522,19,Employer: ABC Company First day worked: 01/01/2014 Last day worked: 14/08/2015 Reason for separation: Quit
C,8,What you need to know / note_c_4683,Note,en_EN/common_notes/note_c_4683.dita,What you need to know,False,4ba87821c47a46bd1c0469bb,44,"Note: If there are comments in block 18 of the last ROE , the system creates an ROE Comments WI. The agent actioning the ROE Comments WI evaluates the comments in block 18 and may move the comments into the Additional information field in RCM."
C,9,What you need to know / note_c_2675,Note,en_EN/common_notes/note_c_2675.dita,What you need to know,False,cd7f51d4031929a3bfb38d6b,49,"Note: When an option is selected in the POE Information section of the Resolve Issue tab, the system displays the actions that will be taken once the ROE RFS Action WI is completed. If adjudication of the RFS issue is required, an ADJ WI is automatically reactivated or created."
C,10,Regional considerations,Regional considerations,en_EN/task/roe_rts/regional_considerations.dita,,True,dc108a1971e107900aae06b0,0,
