item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status
4695,15199,KMT:dita_body:ebeb2dac049d6e5688eb,ORT:dita_body:19f603f35e79456fb412,0.8485226631164551,0.9967605,independent,"The two passages discuss direct deposit but focus on different aspects. Passage 1 explains what direct deposit is and how beneficiaries access their funds, while Passage 2 describes the process of adding, modifying, and ending direct deposit in relation to client claims. There is no duplication or contradiction between the two passages.",True,llm_borderline,reviewed
4695,14198,KMT:dita_body:ebeb2dac049d6e5688eb,ORT:dita_body:c58b87a278e725a55f26,0.84271639585495,0.99639994,independent,"The two passages discuss direct deposit but focus on different aspects. Passage 1 explains what direct deposit is and how it works for beneficiaries, while Passage 2 describes the process of adding direct deposit to a claim when clients request it. There is no duplication or contradiction between the two passages.",True,llm_borderline,reviewed
1452,25507,KMT:dita_body:51a9d7686e86740bcfa2,ORT:dita_body:35c7d241f36bd2a5364d,0.8334038853645325,0.99521434,duplicate/semantic duplicate,"Both passages discuss who can request a reconsideration and emphasize the role of third parties in this process, including the need for proper authorization before communicating with them. The core information is essentially the same, albeit with slight variations in wording.",True,llm_borderline,reviewed
2395,23836,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:95fe73f322f59206f812,0.8330448865890503,0.017268013,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
300,9050,KMT:dita_body:0fb7934e14c6a4f2b0e6,ORT:dita_body:073b90ee6c5c61d488d8,0.8308641314506531,0.98335475,independent,"The two passages discuss different aspects of duplicate payments in the Standard Payment System (SPS). Passage 1 provides instructions on issuing a duplicate payment, while Passage 2 poses questions related to the status of the original payment. There is no duplication or contradiction between the two passages.",True,llm_borderline,reviewed
4510,10962,KMT:dita_body:98c444ddb82775609b78,ORT:dita_body:f0c816f6e29129894209,0.8300115466117859,0.97973216,conflicting information,"Passage 1 states that Canada Post is experiencing issues with mail delivery in some communities due to forest fires, while Passage 2 claims that all mail services to the affected areas have been stopped. This presents conflicting information regarding the extent of mail service disruptions.",True,llm_borderline,reviewed
6702,12616,KMT:dita_body:a00b7b5092212949cc83,ORT:dita_body:70ee4f7e066c7dddc3d1,0.8294306993484497,0.9810689,duplicate/semantic duplicate,"Both passages discuss updates to procedures, specifically mentioning the inclusion of clarifications and guidance, indicating they convey the same scoped fact.",True,llm_borderline,reviewed
3171,9547,KMT:dita_body:4740eda1dab572571885,ORT:dita_body:26025056916dd0fde4ff,0.8250570893287659,0.021134393,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
4582,9464,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:aa1793b885e653d1cd98,0.8250083923339844,0.011406014,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
177,26735,KMT:dita_body:80f018b51fa8409c7fa8,ORT:dita_body:642d0aad679cfc5077ca,0.8249213099479675,0.99463457,duplicate/semantic duplicate,"Both passages discuss the process of a client requesting to withdraw an application for benefits, with Passage 1 providing a general statement about the client's ability to withdraw before the first payment and Passage 2 summarizing the officer's role in determining if the withdrawal can occur.",True,llm_borderline,reviewed
