item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item1_text,item2_text
1677,1702,dita_document:90cb7ab6a809e5677f29,dita_document:e963d7f9272ad7e7b382,1.0000007152557373,0.999921,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-02367_note_0004.dita,Note,,,KA-02367_note_0004.dita,,,dita_document,KA-03109_note_0003.dita,Note,,,KA-03109_note_0003.dita,,,Note IMPORTANT : le nombre de mois pour la PIAR a priorité sur le nombre de mois pour la RET . La somme du nombre de mois dans les cases 21 et 23 ne peut pas excéder 12 mois.,Note IMPORTANT : le nombre de mois pour la PIAR a priorité sur le nombre de mois pour la RET . La somme du nombre de mois dans les cases 21 et 23 ne peut pas excéder 12 mois.
1227,1350,dita_document:266ea3006e2586bc065e,dita_document:b36c7d22d74806cd5a8a,1.0000005960464478,0.99882936,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01770_note_0003.dita,Note,,,KA-01770_note_0003.dita,,,dita_document,KA-01788_note_0003.dita,Note,,,KA-01788_note_0003.dita,,,"Note Remarque : Vous devez clarifier les renseignements contradictoires avant de verser une prestation. Si, après examen, vous déterminez qu'un client a donné des renseignements faux ou trompeurs au sujet de son état civil, consultez Processus de renvoi pour des enquêtes administratives - RPC (scénario) ou Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario) Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario)","Note Remarque : Vous devez clarifier les renseignements contradictoires avant de verser une prestation. Si, après examen, vous déterminez qu'un client a donné des renseignements faux ou trompeurs au sujet de son état civil, consultez Processus de renvoi pour des enquêtes administratives - RPC (scénario) ou Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario) Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario)"
1227,1477,dita_document:266ea3006e2586bc065e,dita_document:e705ccc0453cdcb0fc65,1.0000005960464478,0.99882936,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01770_note_0003.dita,Note,,,KA-01770_note_0003.dita,,,dita_document,KA-01957_note_0002.dita,Note,,,KA-01957_note_0002.dita,,,"Note Remarque : Vous devez clarifier les renseignements contradictoires avant de verser une prestation. Si, après examen, vous déterminez qu'un client a donné des renseignements faux ou trompeurs au sujet de son état civil, consultez Processus de renvoi pour des enquêtes administratives - RPC (scénario) ou Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario) Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario)","Note Remarque : Vous devez clarifier les renseignements contradictoires avant de verser une prestation. Si, après examen, vous déterminez qu'un client a donné des renseignements faux ou trompeurs au sujet de son état civil, consultez Processus de renvoi pour des enquêtes administratives - RPC (scénario) ou Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario) Processus de renvoi pour des enquêtes administratives - RPC (scénario) Processus de renvoi pour des enquêtes administratives - SV (scénario)"
2525,2526,dita_document:ab741a1d022d9cb28264,dita_document:eabdf1e74048026274f6,1.0000005960464478,0.9998386,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-04462_note_0005.dita,Note,,,KA-04462_note_0005.dita,,,dita_document,KA-04462_note_0006.dita,Note,,,KA-04462_note_0006.dita,,,Note Remarque : Il n’y a pas d’admissibilité au SRG pour tout mois durant lequel il n’y a aucune admissibilité à une pension de la SV.,Note Remarque : Il n’y a pas d’admissibilité au SRG pour tout mois durant lequel il n’y a aucune admissibilité à une pension de la SV.
2864,2892,dita_document:fede486b3657925c0145,dita_document:0bed12ada00df5b1d0bc,1.0000005960464478,0.99985576,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-04736_note_0001.dita,Note,,,KA-04736_note_0001.dita,,,dita_document,KA-04738_note_0001.dita,Note,,,KA-04738_note_0001.dita,,,Note Avertissement : Cette ne s'adresse qu'aux utilisateurs qui traientent la correspondance pour le RPC. Utilisez le système Cúram pour le traitement de la correspondance des prestations étrangères (Opérations internationales).,Note Avertissement : Cette ne s'adresse qu'aux utilisateurs qui traientent la correspondance pour le RPC. Utilisez le système Cúram pour le traitement de la correspondance des prestations étrangères (Opérations internationales).
3598,3908,dita_document:c72bb7a0fcdb5563b943,dita_document:ad8390d921dd26c91beb,1.0000005960464478,0.9998178,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05085_note_0008.dita,Note,,,KA-05085_note_0008.dita,,,dita_document,KA-05122_note_0005.dita,Note,,,KA-05122_note_0005.dita,,,Note Remarque : Les périodes de prestations d’INV fournies dans cette section doivent être fournies séparément des cotisations au RPC et une note doit être ajoutée à la section 4.6 afin d’indiquer les périodes de prestation d’INV exactes.,Note Remarque : Les périodes de prestations d’INV fournies dans cette section doivent être fournies séparément des cotisations au RPC et une note doit être ajoutée à la section 4.6 afin d’indiquer les périodes de prestation d’INV exactes.
4182,4184,dita_document:d45365e0463272b0e762,dita_document:46a42154a775615d4c2b,1.0000005960464478,0.9998144,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05150_note_0001.dita,Note,,,KA-05150_note_0001.dita,,,dita_document,KA-05150_note_0003.dita,Note,,,KA-05150_note_0003.dita,,,Note Remarque : Le montant du taux fixe et le montant lié aux gains doivent être fournis à la Suède si le demandeur reçoit une prestation d' INV ou une pension de SURV .,Note Remarque : Le montant du taux fixe et le montant lié aux gains doivent être fournis à la Suède si le demandeur reçoit une prestation d' INV ou une pension de SURV .
4182,4185,dita_document:d45365e0463272b0e762,dita_document:79a29dbcc928592ab128,1.0000005960464478,0.9998144,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05150_note_0001.dita,Note,,,KA-05150_note_0001.dita,,,dita_document,KA-05150_note_0004.dita,Note,,,KA-05150_note_0004.dita,,,Note Remarque : Le montant du taux fixe et le montant lié aux gains doivent être fournis à la Suède si le demandeur reçoit une prestation d' INV ou une pension de SURV .,Note Remarque : Le montant du taux fixe et le montant lié aux gains doivent être fournis à la Suède si le demandeur reçoit une prestation d' INV ou une pension de SURV .
4207,4371,dita_document:a33989218bda9d6493e2,dita_document:546f90a2718564c526d4,1.0000005960464478,0.99923354,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05172_note_0005.dita,Note,,,KA-05172_note_0005.dita,,,dita_document,KA-05234_note_0004.dita,Note,,,KA-05234_note_0004.dita,,,"Note Remarque : Si aucun dossier n'est trouvé et que la date de naissance a été utilisée dans le cadre de la recherche, faites une nouvelle recherche en utilisant le 15e jour du mois de la naissance afin de déterminer si un dossier existe déjà avant de continuer l'inscription. Les profils de clients qui ont été déplacés du système des AI vers Cúram ont une date de naissance réglée au 15e jour du mois par défaut.","Note Remarque : Si aucun dossier n'est trouvé et que la date de naissance a été utilisée dans le cadre de la recherche, faites une nouvelle recherche en utilisant le 15e jour du mois de la naissance afin de déterminer si un dossier existe déjà avant de continuer l'inscription. Les profils de clients qui ont été déplacés du système des AI vers Cúram ont une date de naissance réglée au 15e jour du mois par défaut."
4207,4388,dita_document:a33989218bda9d6493e2,dita_document:418ac01d2fc6f3c3c4df,1.0000005960464478,0.99923354,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05172_note_0005.dita,Note,,,KA-05172_note_0005.dita,,,dita_document,KA-05235_note_0006.dita,Note,,,KA-05235_note_0006.dita,,,"Note Remarque : Si aucun dossier n'est trouvé et que la date de naissance a été utilisée dans le cadre de la recherche, faites une nouvelle recherche en utilisant le 15e jour du mois de la naissance afin de déterminer si un dossier existe déjà avant de continuer l'inscription. Les profils de clients qui ont été déplacés du système des AI vers Cúram ont une date de naissance réglée au 15e jour du mois par défaut.","Note Remarque : Si aucun dossier n'est trouvé et que la date de naissance a été utilisée dans le cadre de la recherche, faites une nouvelle recherche en utilisant le 15e jour du mois de la naissance afin de déterminer si un dossier existe déjà avant de continuer l'inscription. Les profils de clients qui ont été déplacés du système des AI vers Cúram ont une date de naissance réglée au 15e jour du mois par défaut."
