dataset,node_id,source_file,body_type,is_in_duplicate_pair,is_in_duplicate_or_included_pair,text_preview
KMT bodies EN,dita_body:e05977faf5d4b5955838,en/KA-01746_EN/ka-01746_notification_of_automatic_enrolment_let_8c8c9857.dita,conbody,no,no,"If any of the notification letters are returned as undeliverable before the selected person's 65th birthday, proceed as follows: Determine if the person's current home or mailing address can be established. Refer to Returned Correspondence (Action) . If yes and the address is in Canada: Update the address as required. Refer to Addresses—View, Edit, Add, Delete and Capture in Cúram (Action) . Addresses—View, Edit, Add, Delete and Capture in Cúram (Action) Resend the notification letter to the upd"
KMT bodies EN,dita_body:5442c2e14680cdd65842,en/KA-04316_EN/ka-04316_survivors_pension.dita,conbody,no,no,"You can select Insufficient Documentation/Proof or Not Married or Common-Law as reasons to force deny a Survivor's ( SVR ) pension application. You can also force deny when the applicant was neither married to nor in a common-law relationship with the deceased (e.g. the deceased's brother applies for the SVR pension and, although they were residing at the same address, they were not living together in a conjugal relationship). After you click Force Deny , the Benefits screen opens where the bene"
KMT bodies EN,dita_body:1ceb2b02ac90dcbf6b2e,en/KA-01552_EN/ka-01552_references.dita,refbody,yes,yes,There is no reference material. (KA-01423 Snippet 14.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:7ab651819e228f00be4d,en/KA-02088_EN/ka-02088_criminal_proceedings.dita,conbody,no,no,"For criminal proceedings related to CPP and OAS, the RCMP is the investigative body authorized to conduct investigations. You may submit original documents only when requested to do so. For criminal proceedings not related to OAS or CPP, forward all requests to Access to Information and Privacy (ATIP). You are not required to give evidence or produce documents that are not related to OAS or CPP unless the Minister considers it appropriate. Information can only be released when charges are laid o"
KMT bodies EN,dita_body:67cfb00a9a13e8dd229b,en/KA-04836_EN/ka-04836_paper_process_unchanged.dita,conbody,yes,yes,There are no changes to the current Application for CPP Survivor's pension and Child(ren's) Benefits (ISP1300) paper form which is still available for applicants who choose to complete the application process in paper form or are not able to complete a CPP Survivor's Pension and Child(ren's) Benefits application online through MSCA. The online CPP Survivor's Pension and Child(ren's) Benefits application serves as an alternate channel for applicants to apply for a survivor's pension and/or child(
KMT bodies EN,dita_body:3859c0ef535bd9bbd02a,en/KA-04737_EN/ka-04737_legislation_and_regulations.dita,refbody,no,yes,Canada Pension Plan Subsection 44(1)(b)(ii)—Pensions and Supplementary Benefits—Benefits payable Section 55—Pensions and Supplementary Benefits—Retirement Pension—Division of Unadjusted Pensionable Earnings for Divorces and Annulments before the Coming into Force
KMT bodies EN,dita_body:ed37345a406ac94cfa4d,en/KA-05519_EN/ka-05519_delete_an_unstructured_foreign_residence_period.dita,taskbody,yes,yes,"In Cúram, go to client's profile. Refer to Search for a Person in Cúram (Action) . Search for a Person in Cúram (Action) Click the Cases and Applications tab. The Foreign Engagement cases on the client's account are listed. Click the hyperlink for the Foreign Engagement Case under the Reference column. The Foreign Engagement Case opens in a new tab. Click the Evidence tab. Click the Unstructured Foreign Residence Period hyperlink . The Unstructured Foreign Residence Period—Foreign Engagement Cas"
KMT bodies EN,dita_body:e2c396939980ba2f7c28,en/KA-04319_EN/ka-04319_operational_policy_content.dita,conbody,no,no,"The Operational Policy landing pages for each program (OAS, CPP, CPPD- Medical and CPPD - Non-Medical) are located under the Program Fundamentals tab found in the Main Menu at the top of each KMT page. Operational Policy menu Access to the Operational Policy landing pages from the Program Fundamentals in the Main Menu. Access to the Operational Policy landing pages from the Program Fundamentals in the Main Menu. The landing pages for all Operational Policy content have a common look and feel. Th"
KMT bodies EN,dita_body:8042bd0c1c2f6987fb9d,en/KA-01080_EN/ka-01080_exceptions_and_special_cases_2.dita,conbody,yes,yes,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:48e7afb3e35ffa4dc8e4,en/KA-01623_EN/ka-01623_adjust_a_write-off.dita,taskbody,yes,yes,"In ITRDS, click CPMS from the institutional bar. The Account Overview screen opens in CPMS. Click Receivables from the navigation bar, then click Departmental . The Departmental Receivables Summary screen opens. Click View next to the Remission/Write Off indicator in the appropriate Receivable block. The Departmental Receivable Remissions/Write Offs screen opens. Select the write-off you want to adjust under the Write Offs block. Click Adjust . The Adjust Departmental Receivable Write Off screen"
