item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,cluster_id,item1_cluster_id,item2_cluster_id,same_duplicate_cluster,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item1_text,item2_text
5194,5195,dita_document:5e2da696cbdec62b8a02,dita_document:60b2cec1a5a2db1a552e,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00521,all_notes_en_cluster_00521,all_notes_en_cluster_00521,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05482_note_0063.dita,Note,,,KA-05482_note_0063.dita,,,dita_document,KA-05482_note_0064.dita,Note,,,KA-05482_note_0064.dita,,,"Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field.","Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field."
5194,5688,dita_document:5e2da696cbdec62b8a02,dita_document:c668f50c1882cff80b06,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00521,all_notes_en_cluster_00521,all_notes_en_cluster_00521,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05482_note_0063.dita,Note,,,KA-05482_note_0063.dita,,,dita_document,KA-05546_note_0044.dita,Note,,,KA-05546_note_0044.dita,,,"Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field.","Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field."
5195,5688,dita_document:60b2cec1a5a2db1a552e,dita_document:c668f50c1882cff80b06,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00521,all_notes_en_cluster_00521,all_notes_en_cluster_00521,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05482_note_0064.dita,Note,,,KA-05482_note_0064.dita,,,dita_document,KA-05546_note_0044.dita,Note,,,KA-05546_note_0044.dita,,,"Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field.","Note Note: If you select Yes , you must update the Date signed , Name and Relationship to applicant field."
4980,5431,dita_document:544d667a2c466dd39466,dita_document:a33e3c4376d25d7fec0c,1.0000007152557373,0.99991727,duplicate/semantic duplicate,all_notes_en_cluster_00486,all_notes_en_cluster_00486,all_notes_en_cluster_00486,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-05455_note_0004.dita,Note,,,KA-05455_note_0004.dita,,,dita_document,KA-05505_note_0004.dita,Note,,,KA-05505_note_0004.dita,,,"Note Note: If the client is the correspondent, do not populate the other fields in the window.","Note Note: If the client is the correspondent, do not populate the other fields in the window."
280,440,dita_document:569b538573cbf98a09d7,dita_document:42a77d1a6b40d7093e5e,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01215_note_0003.dita,Note,,,KA-01215_note_0003.dita,,,dita_document,KA-01346_note_0002.dita,Note,,,KA-01346_note_0002.dita,,,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.
280,458,dita_document:569b538573cbf98a09d7,dita_document:13b946fd05a1542b7f47,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01215_note_0003.dita,Note,,,KA-01215_note_0003.dita,,,dita_document,KA-01354_note_0003.dita,Note,,,KA-01354_note_0003.dita,,,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.
280,919,dita_document:569b538573cbf98a09d7,dita_document:d80adad6e549fa6783d2,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01215_note_0003.dita,Note,,,KA-01215_note_0003.dita,,,dita_document,KA-01629_note_0002.dita,Note,,,KA-01629_note_0002.dita,,,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.
280,955,dita_document:569b538573cbf98a09d7,dita_document:de50c0274776d1f09dd1,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01215_note_0003.dita,Note,,,KA-01215_note_0003.dita,,,dita_document,KA-01638_note_0002.dita,Note,,,KA-01638_note_0002.dita,,,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.,Note Note: The Date of Birth field and at least one of the Name fields are mandatory.
1206,1243,dita_document:db935025b77e9df251ef,dita_document:6338340b839c615e1e71,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01756_note_0014.dita,Note,,,KA-01756_note_0014.dita,,,dita_document,KA-01775_note_0011.dita,Note,,,KA-01775_note_0011.dita,,,"Note Note: Do not send this letter if the benefit is pending or being processed and a decision letter (e.g. award letter, denial letter) will be sent to advise of eligibility and entitlement.","Note Note: Do not send this letter if the benefit is pending or being processed and a decision letter (e.g. award letter, denial letter) will be sent to advise of eligibility and entitlement."
1206,1276,dita_document:db935025b77e9df251ef,dita_document:155b419dd00fc07149e4,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed,dita_document,KA-01756_note_0014.dita,Note,,,KA-01756_note_0014.dita,,,dita_document,KA-01777_note_0012.dita,Note,,,KA-01777_note_0012.dita,,,"Note Note: Do not send this letter if the benefit is pending or being processed and a decision letter (e.g. award letter, denial letter) will be sent to advise of eligibility and entitlement.","Note Note: Do not send this letter if the benefit is pending or being processed and a decision letter (e.g. award letter, denial letter) will be sent to advise of eligibility and entitlement."
