instance_id,language,article_id,source_path,topic_type,topic_title,body_tag,body_element_id,word_count,conref_targets,text
dita_body:5b2d890721871ebd8d23,en,KA-01029_EN,en/KA-01029_EN/ka-01029_addressing_guidelines.dita,concept,Addressing guidelines,conbody,,346,en/common_notes/note_0001.dita#note_0001/reuse_note_0001|en/common_notes/note_0002.dita#note_0002/reuse_note_0002|en/common_tables/table_0001.dita#table_0001/reuse_table_0001,"Accurate addresses reduce costs for the Department by reducing the amount of correspondence returned by Canada Post. To avoid a surcharge from Canada Post, addresses in ITRDS must meet the addressing guidelines provided by Canada Post. For more information, refer to Addressing Guidelines Internal link . Addressing Guidelines The most common mistake in address formatting occurs when the apartment or suite information is entered. The correct format for a Canadian address with apartment or suite information requires the apartment or suite number to appear: before the civic address number; with a hyphen in between; without spaces; without the word “Suite”; and without the “#” symbol. When a client has provided their civic address in addition to PO Box information, enter the civic address in the Home address fields and the PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. The standard format of a Home address is the following: the client's name; their civic address; and municipality name, province or territory and postal code. The standard format of a Mailing address is the following: the client's name; their civic address or their PO Box number and the station information (if applicable); and municipality name, province or territory and postal code. When a client has provided their civic address in addition to PO Box information and both are within the same community (i.e. they have the same postal code and are in the same town or city), combine and enter the civic address and PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. Once a client's address is changed, the old address information is moved to the Address History screen. Preferred official language When you modify a client's address, ensure that the address is entered in their preferred official language, which can be found in the Written Language field on the Client Profile screen in ITRDS . By using the client's preferred official language, the Department complies with the requirements of the Official Languages Act and avoids Official Language complaints. Address Guidelines for a Client's Preferred Language"
dita_body:0e57f28ec79de20168bf,en,KA-01029_EN,en/KA-01029_EN/ka-01029_cascading_addresses.dita,concept,Cascading addresses,conbody,,158,,"An address cascade is when an update is made to one account and the change automatically transfers to another related account. The address cascades in ITRDS are based on the interrelationships in the client's account (i.e. related CPP child accounts with the same payee client identifier). Even if the interrelationship is no longer active, a change to the address on one account will continue to cascade to the related account until that relationship is severed or a new address is added to the related account. When changing the address, you must consider: If the client has an interrelated spouse, ensure that the spouse's benefits are not affected by the changes. Address changes for a child under the age of 18 (-18 child) cannot be made on the child's Client Profile screen. They must be made from the account of the person who is receiving the payment on the child's behalf, or on the child's Contact / Applicant screen."
dita_body:7e52267d9570808e7d75,en,KA-01029_EN,en/KA-01029_EN/ka-01029_delete_future_address_andor_direct_deposit.dita,task,Delete Future Address and/or Direct Deposit,taskbody,,91,,"To delete a future address or direct deposit, click Delete in the Address / Direct Deposit block. The Delete Future Address and/or Direct Deposit screen opens. Select the appropriate address or direct deposit. Click Save . The Client Profile screen opens. To delete an existing direct deposit, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Enter the Start Date (YYYYMMDD). This field is prefilled with the current date. Enter the Receipt Date (YYYYMMDD). Update the Direct Deposit block. Click Save . The Client Profile screen opens."
dita_body:493164b9029936964f4a,en,KA-01029_EN,en/KA-01029_EN/ka-01029_glossary.dita,reference,Glossary,refbody,,5,,Home address Mailing address Payee
dita_body:47b15811bb9f371a3631,en,KA-01029_EN,en/KA-01029_EN/ka-01029_payment_destination.dita,concept,Payment destination,conbody,,162,,"Effective June 1, 2024, applicants are able to add the account holder name(s) to the direct deposit section for online CPPD benefits, RTR pension and SVR pension applications if the direct deposit information does not exist in ITRDS . For more information, refer to My Service Canada Account (Knowledge) and to My Service Canada Account (Knowledge) Online Applications for CPP (Knowledge) The Mailing address field indicates the correspondence address and payment destination when the client receives their payments by paper cheque. When the client wishes to receive their payments by direct deposit, there is no change to the mailing address. To send the Mailing address or Direct Deposit update from ITRDS to Cúram, select Share with CURAM when modifying the information. Modifying the Home address fields will not affect the existing Mailing address (i.e. paper cheque) or Direct Deposit fields. If no mailing address has been added to the account, the Home address will be copied to the Mailing address fields."
dita_body:e8882b145fa6cd49b2f5,en,KA-01029_EN,en/KA-01029_EN/ka-01029_summary.dita,concept,Summary,conbody,,12,,"Modify a client's home address, mailing address or payment destination in ITRDS ."
dita_body:098b9475f7fc14d555c1,en,KA-01029_EN,en/KA-01029_EN/ka-01029_third_party_payee.dita,concept,Third Party Payee,conbody,,148,en/common_notes/note_0003.dita#note_0003/reuse_note_0003,"If the client has a payee contact (e.g. a trustee), you cannot modify the payee's mailing address or payment destination on the Modify Address / Direct Deposit screen. You must update the third party contact information on the Contact / Applicant screen in ITRDS . Once completed, the payee's mailing address or payment destination will be displayed on the Client Profile screen instead of the client's mailing or payment destination address. If you need to add a payee contact, Third Party Contact—Payee (Scenario) Updating the client's address to remove a payee contact If the client has a payee contact in ITRDS receiving payments on their behalf, the payee's mailing address will be displayed on the Client Profile screen. Once you have determined the client can receive their own correspondence and payments, updating the client's Mailing address and payment destination on the Modify Address / Direct Deposit will remove the existing payee."
dita_body:4db21a137f9da3a8e1dc,en,KA-01029_EN,en/KA-01029_EN/ka-01029_what_you_need_to_do.dita,task,What you need to do,taskbody,,126,en/common_notes/note_0004.dita#note_0004/reuse_note_0004|en/common_tables/table_0002.dita#table_0002/reuse_table_0002|en/common_tables/table_0003.dita#table_0003/reuse_table_0003,"In ITRDS , click Client Profile from the institutional bar. The Client Profile screen opens. To delete a future address or direct deposit, go to the Delete Future Address and/or Direct Deposit section below. To modify the address or payment address information, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Modify the home address as follows: Click Save . If any of the following messages appear, take the appropriate action: Click OK to return to the Client Profile screen or click Cancel to remain on the Modify Address / Direct Deposit screen. Modify the direct deposit information, if applicable. Refer to Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) . Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) Click Save ."
dita_body:6086c7dd1e806c9b78cf,en,KA-01029_EN,en/KA-01029_EN/ka-01029_what_you_need_to_know.dita,concept,What you need to know,conbody,,98,,"Effective March 10, 2025, you can enter 3 unique addresses in ITRDS for the client ( Home , Mailing and Direct Deposit ). Adding a Mailing address to the client's account will not change the payment destination from direct deposit to paper cheque. When updating a client's address, it is important to be aware of when a change of address can affect a client's entitlement. For example, a change of address resulting from a client's departure from or return to Canada can affect their continuing eligibility to OAS benefits. Clients who live outside of Canada may be subjected to non-resident tax."
dita_body:554694aeb93166527656,en,KA-01037_EN,en/KA-01037_EN/ka-01037_exceptions_and_special_cases.dita,concept,Exceptions and special cases,conbody,,17,,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
