item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,cluster_id,item1_cluster_id,item2_cluster_id,same_duplicate_cluster,final_analysis,is_borderline,classification_source,llm_review_status
5194,5195,dita_document:5e2da696cbdec62b8a02,dita_document:60b2cec1a5a2db1a552e,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00520,all_notes_en_cluster_00520,all_notes_en_cluster_00520,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5194,5688,dita_document:5e2da696cbdec62b8a02,dita_document:c668f50c1882cff80b06,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00520,all_notes_en_cluster_00520,all_notes_en_cluster_00520,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5195,5688,dita_document:60b2cec1a5a2db1a552e,dita_document:c668f50c1882cff80b06,1.0000008344650269,0.9999016,duplicate/semantic duplicate,all_notes_en_cluster_00520,all_notes_en_cluster_00520,all_notes_en_cluster_00520,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4980,5431,dita_document:544d667a2c466dd39466,dita_document:a33e3c4376d25d7fec0c,1.0000007152557373,0.99991727,duplicate/semantic duplicate,all_notes_en_cluster_00484,all_notes_en_cluster_00484,all_notes_en_cluster_00484,yes,Normalized node text is identical.,False,cross_encoder,not_needed
280,440,dita_document:569b538573cbf98a09d7,dita_document:42a77d1a6b40d7093e5e,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
280,458,dita_document:569b538573cbf98a09d7,dita_document:13b946fd05a1542b7f47,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
280,919,dita_document:569b538573cbf98a09d7,dita_document:d80adad6e549fa6783d2,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
280,955,dita_document:569b538573cbf98a09d7,dita_document:de50c0274776d1f09dd1,1.0000005960464478,0.9998846,duplicate/semantic duplicate,all_notes_en_cluster_00159,all_notes_en_cluster_00159,all_notes_en_cluster_00159,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1206,1243,dita_document:db935025b77e9df251ef,dita_document:6338340b839c615e1e71,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1206,1276,dita_document:db935025b77e9df251ef,dita_document:155b419dd00fc07149e4,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1206,3417,dita_document:db935025b77e9df251ef,dita_document:c56364a941271dd8882c,1.0000005960464478,0.99992436,duplicate/semantic duplicate,all_notes_en_cluster_00170,all_notes_en_cluster_00170,all_notes_en_cluster_00170,yes,Normalized node text is identical.,False,cross_encoder,not_needed
1256,1263,dita_document:e76b940572ffdb7bd310,dita_document:5d185a54a0894fff4f57,1.0000005960464478,0.9999127,duplicate/semantic duplicate,all_notes_en_cluster_00514,all_notes_en_cluster_00514,all_notes_en_cluster_00514,yes,Normalized node text is identical.,False,cross_encoder,not_needed
3494,3517,dita_document:959b73b1396745b67182,dita_document:a7167dcfd73f74c52694,1.0000005960464478,0.9999106,duplicate/semantic duplicate,all_notes_en_cluster_00665,all_notes_en_cluster_00665,all_notes_en_cluster_00665,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4052,4065,dita_document:60459a039e5d13b17f4b,dita_document:98cee6c13ec8cfe08d93,1.0000005960464478,0.9997189,duplicate/semantic duplicate,all_notes_en_cluster_00532,all_notes_en_cluster_00532,all_notes_en_cluster_00532,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4347,5361,dita_document:b3a66998743bd70ba793,dita_document:f13cfc6c0e62bd005f8f,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4347,5367,dita_document:b3a66998743bd70ba793,dita_document:81424fd5325dc0581ea1,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4347,5372,dita_document:b3a66998743bd70ba793,dita_document:93574f6c39dbf8d45fe0,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4347,5626,dita_document:b3a66998743bd70ba793,dita_document:8e902338afa99e092883,1.0000005960464478,0.99988455,duplicate/semantic duplicate,all_notes_en_cluster_00361,all_notes_en_cluster_00361,all_notes_en_cluster_00361,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4892,4893,dita_document:42d34d14898dfc5e94b9,dita_document:2d44bd2cac3cb5e851af,1.0000005960464478,0.99983186,duplicate/semantic duplicate,all_notes_en_cluster_00310,all_notes_en_cluster_00310,all_notes_en_cluster_00310,yes,Normalized node text is identical.,False,cross_encoder,not_needed
4892,4894,dita_document:42d34d14898dfc5e94b9,dita_document:36598f382e65c98f24ed,1.0000005960464478,0.99983186,duplicate/semantic duplicate,all_notes_en_cluster_00310,all_notes_en_cluster_00310,all_notes_en_cluster_00310,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5186,5189,dita_document:c659631268b52454eedd,dita_document:4182cde49af9dee19c9b,1.0000005960464478,0.9998931,duplicate/semantic duplicate,all_notes_en_cluster_00016,all_notes_en_cluster_00016,all_notes_en_cluster_00016,yes,Normalized node text is identical.,False,cross_encoder,not_needed
5215,5777,dita_document:ef8d477562a177bdb032,dita_document:d0ca093e46291704e771,1.0000005960464478,0.9998956,duplicate/semantic duplicate,all_notes_en_cluster_00756,all_notes_en_cluster_00756,all_notes_en_cluster_00756,yes,Normalized node text is identical.,False,cross_encoder,not_needed
