item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status
3285,14694,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:b4547b8fa5bc72f5411b,0.9778663516044616,0.05319031,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,14685,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:b21d684503d9bb7cbbd9,0.975517511367798,0.041450545,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,20197,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:c587e2692b39c3803e83,0.9674382209777832,0.35138136,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3020,24178,KMT:dita_body:15620d56853326b690ed,ORT:dita_body:2623cc7c60e93294faef,0.9649243354797364,0.87288046,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,10914,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:8c0cb4b429e603e1c8b2,0.963265895843506,0.019683305,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3776,12049,KMT:dita_body:1052384059a2356ef0af,ORT:dita_body:e21604de2b3c78aaf4e5,0.9620222449302672,0.5009804,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,19965,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:b9195498058074afa466,0.9609946012496948,0.10857556,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
4599,17838,KMT:dita_body:6353a43082e1316982b0,ORT:dita_body:b72ab745ec176eb6dc75,0.9586493968963624,0.033765852,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,18229,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:19f648d8886778277023,0.9583602547645568,0.5702996,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
2088,22304,KMT:dita_body:23394772a1270889930b,ORT:dita_body:0ff99846610352c922f9,0.9574711322784424,0.056021743,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
2803,12524,KMT:dita_body:e336bef2287bf9edb15e,ORT:dita_body:9f7f9b6db7b5588707bd,0.9572516679763794,0.64288896,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3524,20817,KMT:dita_body:d6b141763f1cd3205919,ORT:dita_body:cf6128101094749dc88b,0.9563937187194824,0.1595221,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3524,23895,KMT:dita_body:d6b141763f1cd3205919,ORT:dita_body:38b47541fde6741fdf43,0.9563937187194824,0.1595221,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
3285,18703,KMT:dita_body:0fed186f43c33ea02985,ORT:dita_body:c322b2be4f9379d7ba34,0.9558761715888976,0.5920154,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
2930,24704,KMT:dita_body:cf9626cc086e3f5ef480,ORT:dita_body:45b7ddbb7d8965e86913,0.9555750489234924,0.022395125,independent,CrossEncoder score is below the independent threshold.,False,cross_encoder,not_needed
