item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status
594,595,dita_document:33b7923d9f67d9f57f82,dita_document:73e5b837c702d69bd845,1.0000004768371582,0.9995999,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
5143,5145,dita_document:11fa3b3ab8cc7e672567,dita_document:5ee6e92301b5002758cd,1.0000003576278689,0.99971217,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
5870,5874,dita_document:103c5fd71f346309737f,dita_document:4a9c8293e3173718455e,1.000000238418579,0.9995827,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
209,363,dita_document:71f06fd4ba97ba980f8e,dita_document:ff1bc30652db77d9ff6e,1.0000001192092896,0.99966896,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
880,1031,dita_document:b3d920b9940abdf6652f,dita_document:13057b4bf33b1b3b086a,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
880,1121,dita_document:b3d920b9940abdf6652f,dita_document:e804be1855f1a8392be7,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
1031,1121,dita_document:13057b4bf33b1b3b086a,dita_document:e804be1855f1a8392be7,1.0000001192092896,0.9997046,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
197,2586,dita_document:b2d727a0b5a59db69835,dita_document:89bfd46279ace20ae529,1.0,0.99990964,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
239,354,dita_document:3f3e4461a68e91e57800,dita_document:da5b5faf8487f24bd286,1.0,0.99962145,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
241,503,dita_document:3c840cac5ba86a50ca66,dita_document:cdbd67fb178eec8c3cbf,1.0,0.9999379,duplicate/semantic duplicate,Normalized node text is identical.,False,cross_encoder,not_needed
