item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity,cross_encoder_score,final_relationship_type,final_analysis,is_borderline,classification_source,llm_review_status,item1_node_type,item1_article_path,item1_article_title,item1_language,item1_topic_path,item1_source_element_path,item1_element_id,item1_conref_targets,item2_node_type,item2_article_path,item2_article_title,item2_language,item2_topic_path,item2_source_element_path,item2_element_id,item2_conref_targets,item1_text,item2_text
1452,25507,KMT:dita_body:51a9d7686e86740bcfa2,ORT:dita_body:35c7d241f36bd2a5364d,0.8334038853645325,0.99521434,duplicate/semantic duplicate,"Both passages discuss who can request a reconsideration and emphasize the role of third parties in this process, including the need for proper authorization before communicating with them. The core information is essentially the same, albeit with slight variations in wording.",True,llm_borderline,reviewed,dita_conbody,en/KA-01718_EN/ka-01718_who_can_request_a_reconsideration.dita,Who can request a reconsideration?,en,en/KA-01718_EN/ka-01718_who_can_request_a_reconsideration.dita,en/KA-01718_EN/ka-01718_who_can_request_a_reconsideration.dita#/conbody,,,dita_conbody,en_EN/task/thirdparty/summary.dita,Summary,en,en_EN/task/thirdparty/summary.dita,en_EN/task/thirdparty/summary.dita#/conbody,,,"The client or any third party on behalf of the client, even if they are not a legal representative, can request a reconsideration. If a third party requests a reconsideration, you must obtain proper authorization before communicating with them and you must communicate directly with the client. Third Party Requests (Scenario) You cannot process the reconsideration request if the client is deceased and there is no executor or court-appointed administrator. Reconsideration (Policy)","Summary: In addition to clients and employers, a request for reconsideration may be submitted by a third party who represents them. The officer must obtain proper authorization in order to protect the privacy of the interested parties before sharing any information with the third party."
4510,10962,KMT:dita_body:98c444ddb82775609b78,ORT:dita_body:f0c816f6e29129894209,0.8300115466117859,0.97973216,conflicting information,"Passage 1 states that Canada Post is experiencing issues with mail delivery in some communities due to forest fires, while Passage 2 claims that all mail services to the affected areas have been stopped. This presents conflicting information regarding the extent of mail service disruptions.",True,llm_borderline,reviewed,dita_conbody,en/KA-04701_EN/ka-04701_whats_new.dita,What's new,en,en/KA-04701_EN/ka-04701_whats_new.dita,en/KA-04701_EN/ka-04701_whats_new.dita#/conbody,,,dita_conbody,en_EN/site/dossier/information_forest_fires_in_bc_measures_c27fcb7a/summary.dita,Summary,en,en_EN/site/dossier/information_forest_fires_in_bc_measures_c27fcb7a/summary.dita,en_EN/site/dossier/information_forest_fires_in_bc_measures_c27fcb7a/summary.dita#/conbody,,,"Canada Post is experiencing issues in the delivery of mail for some communities and regions in the province of British Columbia due to forest fires. Approximately 300 CPP and OAS cheques may be affected. For the most up to date list of affected communities, refer to the Canada Post website","Due to the recent forest fires in British Columbia, Canada Post has been forced to stop all mail services to the affected areas. Emergency measures will be adopted to support clients who are affected by these fires."
6702,12616,KMT:dita_body:a00b7b5092212949cc83,ORT:dita_body:70ee4f7e066c7dddc3d1,0.8294306993484497,0.9810689,duplicate/semantic duplicate,"Both passages discuss updates to procedures, specifically mentioning the inclusion of clarifications and guidance, indicating they convey the same scoped fact.",True,llm_borderline,reviewed,dita_conbody,en/KA-05311_EN/ka-05311_whats_new.dita,What's new,en,en/KA-05311_EN/ka-05311_whats_new.dita,en/KA-05311_EN/ka-05311_whats_new.dita#/conbody,,,dita_conbody,en_EN/site/dossier/updated_clarification_eierb_db/generic.dita,Generic,en,en_EN/site/dossier/updated_clarification_eierb_db/generic.dita,en_EN/site/dossier/updated_clarification_eierb_db/generic.dita#/conbody,,,The procedures regarding liaisons have been updated to include additional guidance and clarifications.,Procedures have been updated to include this clarification.
177,26735,KMT:dita_body:80f018b51fa8409c7fa8,ORT:dita_body:642d0aad679cfc5077ca,0.8249213099479675,0.99463457,duplicate/semantic duplicate,"Both passages discuss the process of a client requesting to withdraw an application for benefits, with Passage 1 providing a general statement about the client's ability to withdraw before the first payment and Passage 2 summarizing the officer's role in determining if the withdrawal can occur.",True,llm_borderline,reviewed,dita_conbody,en/KA-01077_EN/ka-01077_withdraw.dita,Withdraw,en,en/KA-01077_EN/ka-01077_withdraw.dita,en/KA-01077_EN/ka-01077_withdraw.dita#/conbody,,,dita_conbody,en_EN/task/withdraw_an_app/summary.dita,Summary,en,en_EN/task/withdraw_an_app/summary.dita,en_EN/task/withdraw_an_app/summary.dita#/conbody,,,"A client can request to withdraw an application for a benefit before the first payment has been issued. For more information, Withdraw an Application (Scenario)","Summary: When a client requests to withdraw an application for benefits, the officer determines if the application can be withdrawn."
1827,11008,KMT:dita_body:9570d38494b3519dc5e8,ORT:dita_body:5f498033cba79343a9fc,0.8117212653160095,0.993709,duplicate/semantic duplicate,"Both passages discuss the emergency benefits introduced by the Government of Canada in response to the COVID-19 pandemic, including the Canada Emergency Response Benefit (CERB) and the Employment Insurance Emergency Response Benefit (EI ERB). They provide similar information regarding the administration of these benefits, their implications for income calculations, and the legislative context surrounding them, albeit with different levels of detail.",True,llm_borderline,reviewed,dita_conbody,en/KA-01805_EN/ka-01805_federal_emergency_benefits.dita,Federal emergency benefits,en,en/KA-01805_EN/ka-01805_federal_emergency_benefits.dita,en/KA-01805_EN/ka-01805_federal_emergency_benefits.dita#/conbody,,,dita_conbody,en_EN/site/dossier/information_reeicfp_cerb/generic.dita,Generic,en,en_EN/site/dossier/information_reeicfp_cerb/generic.dita,en_EN/site/dossier/information_reeicfp_cerb/generic.dita#/conbody,,,"In response to the COVID-19 pandemic, the Government of Canada introduced emergency benefits to support Canadians by providing temporary income support for workers (employed and self-employed) who were directly impacted by the pandemic. These emergency benefits are: Employment Insurance Emergency Response Benefit (EI ERB); Canada Emergency Response Benefit (CERB); Canada Recovery Benefit (CRB); Canada Recovery Caregiving Benefit (CRCB); Canada Recovery Sickness Benefit (CRSB); and Canada Worker Lockdown Benefit (CWLB). Federal emergency benefits received in 2020 are considered income for the 2021-2022 payment period. Clients who received EI-ERB and saw a reduction of their income-tested benefits during the 2021-2022 payment period might have qualified for an option when the emergency benefit ended. Effective July 2022, these benefits are no longer considered income when calculating entitlement to income-tested benefits. For more information about these benefits and how this income was reported to the Department by the CRA , refer to: Calculating Income (Policy) ; and Calculating Income (Policy) COVID-19: Interim Measures—Emergency Benefits (Action) . COVID-19: Interim Measures—Emergency Benefits (Action)","As part of the COVID-19 Emergency Response Act, the Government of Canada introduced the Canada Emergency Response Benefit Act (CERB Act) that paid income support to eligible Canadians and was administered through the CRA. In order to provide similar support for workers who would generally be eligible for the EI program, the Minister made interim orders providing for the EI Emergency Response Benefit (EI ERB) administered by Service Canada . Although the CRA and Service Canada jointly administered the Emergency Response Benefits, existing EI processes as well as two different pieces of legislation have led to some differences in how the benefits were administered depending on which Department an individual applied through. Subsection 153.121(1) of the EIA states: 153.121 (1) A benefit period that was established for a claimant before March 15, 2020 — including a benefit period established in respect of benefits payable under Part VIII — ends the day before the first week for which the claimant is paid an employment insurance emergency response benefit. This section of the legislation required claimants who had an existing EI claim to terminate that EI claim if they wished to receive the EI ERB on or after March 15, 2020. Once an EI claim is terminated, the hours and earnings used to establish that claim cannot be used again and claimants lose any remaining entitlement weeks on that claim. However, there is no corresponding piece of legislation in the CERB Act. Part VIII.4 of the EIA applies only to the EI ERB, it cannot be used to support decisions made on CERB claims paid by the CRA. As a result, if claimants had an existing EI claim and then chose to collect the CERB through the CRA, their existing EI claim was not terminated and these claimants may now come back to collect EI and have their earlier claims renewed. There is nothing to legally prevent claimants from renewing their previous EI claim following the payment of CERB through the CRA provided that they are not renewing it for a period where they were in receipt of CERB payments. It is important to note, however, that renewing the claim may not be to the claimant’s advantage. Any EI claim with a BPC prior to September 27, 2020 will not benefit from the temporary transition measures (including the minimum benefit rate). If a claimant wishes to terminate their earlier claim to avail of the temporary transition measures, the usual procedures for terminating an EI claim must be followed. Example"
152,26735,KMT:dita_body:a506880dff6ba0bb38c5,ORT:dita_body:642d0aad679cfc5077ca,0.8017790913581848,0.9969838,one passage included in another,"Passage 1 provides general guidance on processing a request to withdraw an application, while Passage 2 specifies the role of an officer in determining if a client's request to withdraw an application for benefits can be granted. The information in Passage 1 is broader and encompasses the scenario described in Passage 2.",True,llm_borderline,reviewed,dita_conbody,en/KA-01075_EN/ka-01075_summary.dita,Summary,en,en/KA-01075_EN/ka-01075_summary.dita,en/KA-01075_EN/ka-01075_summary.dita#/conbody,,,dita_conbody,en_EN/task/withdraw_an_app/summary.dita,Summary,en,en_EN/task/withdraw_an_app/summary.dita,en_EN/task/withdraw_an_app/summary.dita#/conbody,,,This procedure provides guidance on how to process a request to withdraw an application.,"Summary: When a client requests to withdraw an application for benefits, the officer determines if the application can be withdrawn."
2735,23079,KMT:dita_body:9259be247ee1c8736c01,ORT:dita_body:3abc91fd04672c0ee859,0.7944463491439819,0.99505913,duplicate/semantic duplicate,"Both passages discuss the concept of voluntary disclosure, emphasizing that it involves an admission of misrepresentation and that no penalties are imposed when such disclosures are accepted. They both convey the same core idea, albeit with slightly different wording and examples.",True,llm_borderline,reviewed,dita_conbody,en/KA-03296_EN/ka-03296_voluntary_disclosure.dita,Voluntary disclosure,en,en/KA-03296_EN/ka-03296_voluntary_disclosure.dita,en/KA-03296_EN/ka-03296_voluntary_disclosure.dita#/conbody,,,dita_conbody,en_EN/task/processing_overpayment/voluntary_disclosure.dita,Voluntary disclosure,en,en_EN/task/processing_overpayment/voluntary_disclosure.dita,en_EN/task/processing_overpayment/voluntary_disclosure.dita#/conbody,,,"Voluntary disclosure is an admission by an applicant, a beneficiary or an informant lead, that they knowingly made a misrepresentation. The Disclosure Policy does not apply if an investigation is under way. When voluntary disclosure is accepted, no penalty is imposed.","Voluntary disclosure occurs when clients come forward of their own accord to report omitted or incorrect information on a claim. In PSCD, the OP is established as misrepresentative as follows: OP code: 70 - Penalty exempt disclosure Infraction: T - Disclosure Message Cd: 71 - Information you disclosed caused an overpayment If an OP is established as a result of a client’s voluntary disclosure, it does not accrue interest, and no penalties or violations are applied."
2760,8836,KMT:dita_body:483b2ad77e58b471ea89,ORT:dita_body:e14a5d65f7a45c5d26e1,0.7930081486701965,0.9967562,duplicate/semantic duplicate,"Both passages discuss the rate of interest, which is defined as the Bank of Canada average rate plus 3%. They both mention that interest accrues daily and is compounded monthly. The details about when interest starts to accumulate and the context of debts differ slightly, but the core information about the rate and calculation method is the same.",True,llm_borderline,reviewed,dita_conbody,en/KA-03304_EN/ka-03304_rate_of_interest.dita,Rate of interest,en,en/KA-03304_EN/ka-03304_rate_of_interest.dita,en/KA-03304_EN/ka-03304_rate_of_interest.dita#/conbody,,,dita_conbody,en_EN/activity/misrepresentation/interest.dita,Interest,en,en_EN/activity/misrepresentation/interest.dita,en_EN/activity/misrepresentation/interest.dita#/conbody,,,"The prescribed rate of interest is the Bank of Canada average rate plus 3%. Interest will accrue daily where debtors have missed making a payment by the scheduled due date and is compounded monthly. Where the amount of an overpayment to which a penalty is attached has been adjusted, either upwards or downwards, on the basis of a decision under the CPP and the OAS Act (or judicial review thereof), the corresponding accrued interest, if any, will be adjusted accordingly for the entire period in question.","Any outstanding debts arising from a misrepresentation are charged interest (OP and penalty). Interest is not charged on debts arising from an error or when the disclosure policy has been approved. Rate of interest, as prescribed by Treasury Board, is the Bank of Canada average rate plus 3%. It is calculated daily and compounded monthly. Interest starts to accumulate 7 days after the account establishment transaction is approved in PSCD."
2064,23051,KMT:dita_body:d1af2839d75f4726dd24,ORT:dita_body:3fca4bc669c10f7c60b4,0.7799878716468811,0.95339876,one passage included in another,"Passage 2 provides information about a specific action (notification of the Commission) that occurs after a decision is made by the SST-Appeal Division, which is a part of the broader context described in Passage 1 about the SST and its divisions.",True,llm_borderline,reviewed,dita_conbody,en/KA-02020_EN/ka-02020_sst.dita,SST,en,en/KA-02020_EN/ka-02020_sst.dita,en/KA-02020_EN/ka-02020_sst.dita#/conbody,,en/common_notes/note_1276.dita#note_1276/reuse_note_1276,dita_conbody,en_EN/task/processing_notification_sst_appeal_division/summary.dita,Summary,en,en_EN/task/processing_notification_sst_appeal_division/summary.dita,en_EN/task/processing_notification_sst_appeal_division/summary.dita#/conbody,,,"The SST is an independent tribunal that makes decisions on appeals of reconsideration decisions made by the Department. In April 2013, the SST appeal system replaced the: the Office of the Commissioner of Review Tribunals; the Pension Appeals Board; the Employment Insurance Board of Referees; and the Employment Insurance Umpire. The SST is divided into 2 divisions: first level: Social Security Tribunal—General Division ( SST —GD) second level: Social Security Tribunal—Appeal Division ( SST —AD)","Summary: Once the Social Security Tribunal (SST)-Appeal Division makes a decision on an appeal, the Commission is notified."
7057,10829,KMT:dita_body:b3bac2987fe38c754c99,ORT:dita_body:e25c643833671c6d69d4,0.7766464948654175,0.9901912,conflicting information,"The two passages provide conflicting timelines and details regarding postal disruptions. Passage 1 states that the disruption lasted from September 25 to October 10, 2025, while Passage 2 indicates a disruption from November 15, 2024, to December 18, 2024. Additionally, the implications for various programs and the measures taken during these disruptions differ significantly, leading to mutually incompatible claims.",True,llm_borderline,reviewed,dita_conbody,en/KA-05419_EN/ka-05419_what_this_means_for_you.dita,What this means for you,en,en/KA-05419_EN/ka-05419_what_this_means_for_you.dita,en/KA-05419_EN/ka-05419_what_this_means_for_you.dita#/conbody,,,dita_conbody,en_EN/site/dossier/info_interim_ps_disrupt/generic.dita,Generic,en,en_EN/site/dossier/info_interim_ps_disrupt/generic.dita,en_EN/site/dossier/info_interim_ps_disrupt/generic.dita#/conbody,,,"Postal Disruption Process As of October 11, 2025, Canada Post has resumed regular mail delivery on a rotating basis. The full disruption lasted 16 days, from September 25 to October 10, 2025. During the postal disruption, mailed documents submitted by applicants, beneficiaries and third parties may be delayed until the disruption has ended. The extension for protected date will be equal to the number of days of the full postal disruption (16 days) plus an additional 21 days. Therefore, the Department must date protect applications and all other correspondence received by mail to September 25, 2025, if received before October 31, 2025. For clarification purposes, the following methods are considered “mail"" submissions: Regular mail Drop off at Service Canada Centre Courier Services (e.g. UPS, Purolator) The following methods are considered “digital"" submissions and are not subject to protected date for the purpose of the postal disruption: MSCA (e.g. Online applications, reconsideration requests) Document Upload Solution (DUS) Faxed documents Common CPPD OAS SST At the Social Security Tribunal General Division ( SST — GD), documents submitted by Appellants and third parties by mail may not be received by Service Canada until after the disruption has ended. Interim guidance that must be followed during the postal disruption has been developed for appeals at the SST —GD, considering filing deadlines and hearing dates set by the SST —GD. Refer to Impact of the Postal Service Disruption for Pensions at the Social Security Tribunal General Division Share Point link for interim guidance. (P lease note that only staff who are trained in Appeals at the SST —GD have access to the CPP/CPPD/OAS SharePoint site). Impact of the Postal Service Disruption for Pensions at the Social Security Tribunal General Division Instructions for Call Centre Staff Refer to the Common Reference Tool (CRT) External link for additional information. Common Reference Tool Instructions for In-Person Staff Refer to IMPACT External link for additional instructions. IMPACT","The Canada Post service disruption, which started on November 15, 2024, affected the mailing of EI cheques and various documents, particularly for clients who are not enrolled in direct deposit and those who complete paper claimant’s reports. Canada Post’s operations resumed on December 18. However, due to the postal services disruption, there may still be delays. The postal services disruption has delayed the receipt and issuing of paper claimant’s reports. To ensure that the paper claimant’s reports are not considered as late, the timeframe to receive a paper claimant’s report has been extended to include the week of issue + 12 weeks. Payments sent by Canada Post’s regular mail after the end of the postal services disruption Due to the postal services disruption, printing issues and shipping services delays, the following payments will all be sent to Canada Post for delivery: all cheques printed and retained since the beginning of the postal services disruption (November 15) with no courier request; cheques for payments issued on or after November 29 that were requested to be couriered; all courier requests on or after December 12. Interim Measures All interim measures, except for the measures below, no longer apply as of December 18, 2024. OPs related to misrepresentation and payment replacements (IPOC) interim measures will remain in effect until January 3, 2025. A new measure for late paper claimant’s reports is in effect until March 14, 2025. Overpayments (OPs) The officer does not implement any decisions on misrepresentation. The officer moves the WI to Pending so that transactions can be input on January 6, 2025, when the measure will have ended. Payment replacement — IPOC When an IPOC officer receives a payment replacement request to replace a cheque by direct deposit, the IPOC officer replaces the payment immediately, even if the 8-business day timeframe has not elapsed. If a client reports not receiving a cheque that was issued on or after November 11, 2024, due to the postal services disruption, and the client requests a payment replacement by cheque, the IPOC officer does not replace the payment to allow time for postal delivery. The normal payment replacement timeframes resume January 6, 2025. Late paper claimant’s reports The postal services disruption has delayed the processing of paper claimant’s reports. The period for calculating if a claimant’s report is late is usually based either on the date of issue or the week of reception and the week 1 of the claimant’s report. To address the postal delays during and after the postal services disruption, a temporary measure will be in place, providing leniency for delayed paper claimant’s reports. A Level 1 officer allows a late paper claimant’s report when the following conditions are met: the client was delayed in submitting the paper claimant’s report due to the postal services disruption; the late paper claimant’s report is received within 12 weeks from the week in which the client issued the paper claimant’s report (week of issue + 12). This measure is in effect until March 14, 2025, after which the normal timeframes for calculating late paper claimant’s reports will resume. For the latest information on delivery services disruptions, the officer refers to Delivery service alerts . For more information about the effect of the postal disruption on ESDC programs, including EI, the officer refers to Disruption of Canada Post services . Delivery service alerts Disruption of Canada Post services"
