dataset,node_id,cluster_id,is_in_duplicate_cluster,cluster_size,body_type,node_type,article_path,article_title,document_type,language,word_count,content_hash,text
KMT all_notes EN,dita_document:8e5a77d74b3266c12d31,,no,,conbody,dita_document,KA-01029_note_0001.dita,Callout,dita_common_node,,11,06a126da99b2a822191f1e0b20a9f6f25beb7de7,Callout Example: JOHN JONES 1425 JAMES ST VICTORIA BC V8X 3X4
KMT all_notes EN,dita_document:83090afbad3a657bc3c9,,no,,conbody,dita_document,KA-01029_note_0002.dita,Callout,dita_common_node,,16,f6c65c60a8b10573fb5a3c9a0b16882be3f697f8,Callout Example: JOHN JONES 123 MAIN ST PO BOX 4001 STN A VICTORIA BC V8X 3X4
KMT all_notes EN,dita_document:7f99917ffb2b33d121c1,,no,,conbody,dita_document,KA-01029_note_0003.dita,Note,dita_common_node,,62,06ef812923707f5486972c3b95b032b9a8bd65d9,"Note Workaround: If a Power of Attorney document or mandate request is received that states correspondence or payments made by paper cheque must be redirected to the attorney or mandatary, you must: modify the Mailing address fields on the Client Profile screen to display the attorney or mandatary's address; and enter “C/O (attorney or mandatary's name)” in the Additional Information field."
KMT all_notes EN,dita_document:c6a5f4b344c462d4880f,,no,,conbody,dita_document,KA-01029_note_0004.dita,Note,dita_common_node,,12,ad731139f06bef88664b567944013c627dc42959,Note Note: Type the client's home and mailing address in uppercase letters.
KMT all_notes EN,dita_document:ab2bbab0c11773c38b37,all_notes_en_cluster_00179,yes,5,conbody,dita_document,KA-01029_note_0005.dita,Note,dita_common_node,,83,e76519d0f878121a1970144f7df9c3a2e561b425,"Note Warning: Changing the date on a child's account will affect the payee. Enter the Start Date of the address to be equal to: the first day of the first accounting month following the child's 18th birthday; or the first day of the first accounting month you want to pay the -18 child directly. The Start Date determines the End Date of the existing payee. If these dates are not used, the previous payee will continue to receive the child's payments on their behalf."
KMT all_notes EN,dita_document:8d5f4799783cdf59eb8f,all_notes_en_cluster_00236,yes,5,conbody,dita_document,KA-01029_note_0006.dita,Note,dita_common_node,,18,338bc983de7320390f79e39232e266e08ff42530,Note Warning: The Postal Code field and the Override dropdown are only available when the Country is Canada .
KMT all_notes EN,dita_document:b9683e1f35759f94a034,all_notes_en_cluster_00732,yes,2,conbody,dita_document,KA-01037_note_0001.dita,Note,dita_common_node,,34,98a77bdf70329919b324deb65f970698d0686771,"Note OAS and International Operations OAS Alert: For information on reinstating benefits, refer to Reinstating benefits after suspension or cancellation Internal link . Reinstating benefits after suspension or cancellation Reinstating benefits after suspension or cancellation"
KMT all_notes EN,dita_document:2eb18e616d907f3ece95,,no,,conbody,dita_document,KA-01037_note_0002.dita,Note,dita_common_node,,63,09c8aec62eea5cd3a7589f10477fec8c95384641,"Note Note: When benefits have a Program Exception Process (PEP) or Super PEP status, manual intervention by authorized PEP users is required to release or reinstate the benefits. Refer to CPP Program Exception Process Accounts (Knowledge) and CPP Program Exception Process Accounts (Knowledge) CPP Super Program Exception Process Accounts (Knowledge) CPP Program Exception Process Accounts (Knowledge) CPP Super Program Exception Process Accounts (Knowledge)"
KMT all_notes EN,dita_document:f297560e129072ac40e7,all_notes_en_cluster_00732,yes,2,conbody,dita_document,KA-01037_note_0003.dita,Note,dita_common_node,,17,2726a4f14f040b57458a7968581d2f1057dc1a3b,"Note International Operations and OAS Alert: To reinstate or release benefits, refer to your existing guidance material."
KMT all_notes EN,dita_document:0b8b6a1eb464d27e0738,,no,,conbody,dita_document,KA-01045_note_0001.dita,Note,dita_common_node,,30,ff29be361ddb719a0089413ff9a00d3ba0458843,Note Note: Liquidators of the succession in Quebec may be appointed by the heirs or by the court if no liquidator was appointed prior to the death of the client.
KMT all_notes EN,dita_document:5dd3ab0de04dd96271cb,,no,,conbody,dita_document,KA-01045_note_0002.dita,Note,dita_common_node,,14,5324e43c233c040c6ba124abff460e1e5c2317a0,Note Note: Do not enter the contact information on each individual child's client record.
KMT all_notes EN,dita_document:0a5ffd402502c62eae21,,no,,conbody,dita_document,KA-01051_note_0001.dita,Note,dita_common_node,,61,c822f822091c3f105a79fba06a8d370a13624d3d,"Note OAS and IO OAS Alert: For information regarding suspending benefits, refer to the policies Functional Guidance and Procedures Interim Update Suspension of Benefits (PDF, 154KB) Download link and Suspension of Benefits - All Programs External link . Functional Guidance and Procedures Interim Update Suspension of Benefits Suspension of Benefits - All Programs Functional Guidance and Procedures Interim Update Suspension of Benefits Suspension of Benefits - All Programs"
KMT all_notes EN,dita_document:9e60309ea262bcee0c03,,no,,conbody,dita_document,KA-01051_note_0002.dita,Note,dita_common_node,,61,3e5a836f920e56d12f767d7ad1c79db619066aa2,"Note Warning: You cannot adjust the payment frequency if: the payments are by Bulk Pay/Public Trustee; the account has a departmental receivable, cross program receivable, third-party receivable, related receivable; or Family Orders Enforcement (FOE) withhold. If a periodic payment exists, the system will revert the payment frequency to Monthly once a recovery or FOE withhold activity starts on the account."
KMT all_notes EN,dita_document:0e0c58b582ba74d5e982,,no,,conbody,dita_document,KA-01051_note_0003.dita,Callout,dita_common_node,,28,2814ebb0fc068df5b0978bbced24c0bd86ac096d,"Callout For example A client requests that their payment frequency be adjusted from monthly to quarterly. You receive the request on July 15, 2024, in August accounting month."
KMT all_notes EN,dita_document:43fe3547c505449d2ec2,,no,,conbody,dita_document,KA-01051_note_0004.dita,Note,dita_common_node,,27,a795943d4a50b06be4f44381a3099f7faf2a2bcd,"Note Note: If the monthly amount falls below the $2.00 threshold, payment will not be issued monthly. You must provide periodic payments option to the client."
KMT all_notes EN,dita_document:2c37753b446e08ccc354,all_notes_en_cluster_00039,yes,15,conbody,dita_document,KA-01053_note_0001.dita,Note,dita_common_node,,10,d0b8b8647471e788621859f1445dce5a608318ca,Note Reminder: Ensure you are in the correct client account.
KMT all_notes EN,dita_document:72942b422aeaf6d5b541,all_notes_en_cluster_00346,yes,8,conbody,dita_document,KA-01053_note_0002.dita,Note,dita_common_node,,29,078c6960e72346593f585c40875c04a43f4b84a7,Note Warning: Clicking Delete immediately and permanently deletes the contact data on the Contact / Applicant screen. You can still view the contact data on the Contact / Applicant History screen.
KMT all_notes EN,dita_document:245758988b0c7c07ad5c,all_notes_en_cluster_00181,yes,8,conbody,dita_document,KA-01053_note_0003.dita,Note,dita_common_node,,16,0d21dbcb9995ece5396e99f303eb5d2eb9e45537,Note Note: Field names and hyperlink selections vary based on the selected Role and Type combinations.
KMT all_notes EN,dita_document:c5ca4379729086674808,,no,,conbody,dita_document,KA-01053_note_0004.dita,Note,dita_common_node,,18,03a128e0ca876eaf39f41f9b84249bd06b32362d,"Note Note: If you select Bulk Pay/ Public Trustee for the Role , the Type is prefilled with Organization ."
KMT all_notes EN,dita_document:2898ba095e46b373d969,all_notes_en_cluster_00028,yes,24,conbody,dita_document,KA-01053_note_0005.dita,Note,dita_common_node,,25,680a3e4687f483c6b0dcdb06dcdc36c61eb23cb0,Note Note: Accounts must have the contact's preferred language entered in ITRDS in order to transfer information to the Public Sector Collections and Disbursements system.
KMT all_notes EN,dita_document:1f590351ca904ea992db,all_notes_en_cluster_00236,yes,5,conbody,dita_document,KA-01053_note_0006.dita,Note,dita_common_node,,24,c5f85ebefbbd20bd5d3eb1a8b76c4c8c26ccce8e,"Note Note: If you select a country other than Canada, the Postal Code field and Override dropdown are no longer available on the screen."
KMT all_notes EN,dita_document:5c4bd0b9f52a239a15c8,all_notes_en_cluster_00006,yes,34,conbody,dita_document,KA-01053_note_0007.dita,Note,dita_common_node,,40,a284214affe02bdc49fd8a10519b7fe6ec0eb71a,"Note Warning: At this time, the Department is committed to recording a contact's email address in ITRDS , but email is not an approved method of communication with clients or legal representatives. Do not communicate with the third party by email."
KMT all_notes EN,dita_document:75402bcda952f83247f9,,no,,conbody,dita_document,KA-01062_note_0001.dita,Note,dita_common_node,,31,ab2679a539dba1c44113837169ac838ab352a607,"Note Note: If the deceased's SIN is not provided, you can use the deceased's full name and date of birth as search criteria in the applicable system to obtain the SIN."
KMT all_notes EN,dita_document:11fa23415d0547228230,,no,,conbody,dita_document,KA-01062_note_0002.dita,Note,dita_common_node,,14,f7aff0e4d9853975ab3d0a849d0882a4352bb262,Note Note: A public trustee is not required to provide accountability to the Department.
KMT all_notes EN,dita_document:9af2ded3dac21fab97d1,,no,,conbody,dita_document,KA-01062_note_0003.dita,Callout,dita_common_node,,102,b067266aa6dca45bc4166eb879c7dae0dfbab596,"Callout Example 1 Mary receives an SVR pension and a Surviving Child's benefit on behalf of Katie who is a -18 child. Mary dies on June 3, 2014. A DOD is entered on Mary's ITRDS Client Profile screen on June 5, 2014. Mary's SVR pension is terminated with an end date of June 30, 2014. Katie's Surviving Child's benefit status remains In Pay . You must manually suspend the Surviving Child's benefit in ITRDS with the Pending Custody and Control reason, then Bring Forward (BF) the file until a new payee contacts the Department. Refer to Bring Forward (BF) (Action) . Bring Forward (BF) (Action)"
KMT all_notes EN,dita_document:98d4d238fd4985db12ff,,no,,conbody,dita_document,KA-01062_note_0004.dita,Callout,dita_common_node,,88,036d1f403e95823f8629c99773a181821cc025cf,"Callout Example 2 Sheila receives a DCCB benefit on behalf of James who is a -18 child. Sheila has decision-making responsibility and parenting time of James 100% of the time. James' father is in receipt of a DSB . Sheila dies on November 12, 2022. A DOD is entered on Sheila's ITRDS Client Profile screen on November 15, 2022. James' DCCB status remains In Pay . You must manually suspend the DCCB benefit in ITRDS with the Pending Custody and Control reason, then BF the file until a new payee contacts the Department."
KMT all_notes EN,dita_document:25364b1b883b618625c3,,no,,conbody,dita_document,KA-01062_note_0005.dita,Note,dita_common_node,,58,1596b851a275c661b1cb093d3d1f4d9880985552,"Note Note: If a client with double PNSH dies, both the RTR pension payable and PNSH receivable are on the surviving spouse or common-law partner's account. If the payable is greater than the receivable, Override the Receivable Recovery Rate on a Supplementary Payable in CPMS (Action) Override the Receivable Recovery Rate on a Supplementary Payable in CPMS (Action)"
KMT all_notes EN,dita_document:5e30d71cc88a0398e263,all_notes_en_cluster_00204,yes,5,conbody,dita_document,KA-01062_note_0006.dita,Note,dita_common_node,,30,99db21b1020b5a1eba81da96c5a667308349a39a,"Note Warning: At this time, the Date Notified of Death field in ITRDS is not functional. Do not enter data in the Date Notified of Death field until further notice."
KMT all_notes EN,dita_document:318bf19fbabd43ab8aa4,all_notes_en_cluster_00335,yes,3,conbody,dita_document,KA-01062_note_0007.dita,Note,dita_common_node,,61,5d814bf9ea33658c8d3d3bcafd66182702006c67,"Note Workaround: Enter the DOD as the 1st day of the month and enter the proof as Death Proof - Other if you have not received documentary evidence for the proof of death. Add a note in ITRDS to indicate that the proof of death has not been requested or obtained. ITRDS Notes—Review, Add and Delete (Action) ITRDS Notes—Review, Add and Delete (Action)"
KMT all_notes EN,dita_document:7bcbf645e188d98a2a5a,all_notes_en_cluster_00613,yes,2,conbody,dita_document,KA-01062_note_0008.dita,Note,dita_common_node,,17,d3819f9b0677919d7e747a2e2fc673d33c51b22e,Note Note: The month and year of the Date of Death (DOD) must match between all programs.
KMT all_notes EN,dita_document:81b2c9aadef30d46e644,,no,,conbody,dita_document,KA-01062_note_0009.dita,Note,dita_common_node,,27,668010dd186ed3d0936543ca308ba4fd18a6da3d,"Note Note: If the client is in receipt of more than one benefit (including a combined benefit), you must suspend each benefit separately in the applicable system."
KMT all_notes EN,dita_document:e84c18e33d0a090cf24d,all_notes_en_cluster_00517,yes,2,conbody,dita_document,KA-01062_note_0010.dita,Note,dita_common_node,,56,5753256e30392da29ed28dfb45e5fb80cc74633f,"Note Note: If the month and year of death are confirmed in ITRDS with a SIR source and the account does not appear on the DOD discrepancy report, this is accepted as valid proof of a DOD. Although ITRDS defaults to the 15 of the month, the Social Insurance Registry has a validated month of death."
KMT all_notes EN,dita_document:7efc8eda5fe5214f9e9b,all_notes_en_cluster_00613,yes,2,conbody,dita_document,KA-01062_note_0011.dita,Note,dita_common_node,,16,46e2b602b6b9fa3e13babc6140629ee0f70e1af5,Note Note: The month and year of the date of death must match between all programs.
