sentence,frameCount,frames,frameIds,occurrenceCount,sourceDocumentCount,sourceDocuments
"Level 1 agents can allow training even if the training is over 10 hours per week, as long as all of the following conditions are met: the client resides in an area where there is little or no possibility of employment and has experienced or is expected to experience long weeks of fruitless job search and difficulties in finding employment because of the variable conditions of the labour market; the client is willing to quit the course if it conflicts with a full-time job; the client is capable of working and available to do so, and poses no restriction towards the acceptance of employment.",85,Achieving_first; Active_substance; Activity_stop; Alternatives; Arriving; Becoming_aware; Being_employed; Being_located; Being_obligated; Being_operational; Building_subparts; Calendric_unit; Capability; Coming_to_believe; Coming_up_with; Commerce_buy; Compatibility; Compliance; Contingency; Cotheme; Desiring; Destroying; Dimension; Distributed_position; Documents; Duration_description; Education_teaching; Employing; Expectation; Expertise; Feeling; Fields; Fluidic_motion; Giving; Gizmo; Grasp; Hostile_encounter; Intentionally_act; Likelihood; Locale; Locating; Locative_relation; Measurable_attributes; Measure_duration; Medical_conditions; Non-gradable_proximity; Opinion; Part_ordered_segments; Path_traveled; People_by_vocation; Perception_experience; Posing_as; Prevent_or_allow_possession; Preventing_or_letting; Process_completed_state; Process_stop; Prohibiting_or_licensing; Proportional_quantity; Quantified_mass; Quantity; Quitting; Quitting_a_place; Rank; Regard; Relative_time; Residence; Respond_to_proposal; Roadways; Scrutiny; Size; Spatial_co-location; State_of_entity; Statement; Temporal_collocation; Terms_of_agreement; Time_vector; Undergoing; Unemployment_rate; Usefulness; Using; Verdict; Version_sequence; Willingness; Work; Working_a_post,403; 1322; 166; 1931; 54; 20; 282; 960; 392; 1200; 188; 229; 990; 23; 27; 171; 360; 117; 900; 56; 366; 417; 108; 76; 560; 79; 111; 323; 26; 136; 396; 1345; 345; 139; 106; 979; 93; 198; 114; 192; 792; 199; 965; 224; 239; 2880; 1412; 331; 1592; 1071; 70; 1670; 2056; 516; 234; 144; 521; 1923; 189; 2604; 325; 1644; 1377; 1400; 81; 110; 1623; 203; 31; 2282; 2905; 1600; 43; 1895; 1531; 379; 1725; 1606; 726; 1141; 318; 1960; 1632; 1892; 2603,1,1,procedure/generic/shortterm_courses_ti.json
"Line 1: Type “D[disentitlement] [start date] to [end date].” Example: D13 1750-1 to 1750-5 Line 2: Type the appropriate option: If it is a warning letter, type “notice - warning letter - [Integrity case number].” Example: notice - warning letter - 12345678A9 If it is a penalty, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 LVA $3717 12345678A9 If it is a penalty and a violation, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] VLN V-1-0 LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 VLN V-1-0 LVA $3717 12345678A9 If it is a warning letter and an unclassified violation, type “ notice - warning letter LMR [first, second or third level of misrepresentation] VLN V-1-1 [Integrity case number].” Example: notice - warning letter LMR 1st VLN V-1-1 12345678A9 Line 3: Type the appropriate option: “Send the saved D-91-00-00 letter [correspondence ID].” “Add [missing fields] to the D-91-00-00 letter [correspondence ID] and send.” “Amend the D-91-00-00 letter [correspondence ID], if necessary (re: reconsideration limitation) and send.” “SEND a REM WI when complete.” (so that the agent can send the ACS letter) Line 4: Leave the field blank.",82,Abandonment; Active_substance; Activity_finish; Activity_start; Alternatives; Amounting_to; Be_subset_of; Becoming_aware; Being_in_category; Being_necessary; Boundary; Building_subparts; Calendric_unit; Cardinal_numbers; Catching_fire; Causation; Cause_change_of_position_on_a_scale; Cause_to_be_included; Cause_to_end; Commutative_process; Completeness; Compliance; Containers; Criminal_investigation; Death; Degree; Deny_or_grant_permission; Departing; Destroying; Dimension; Distributed_position; Extreme_value; Fields; First_experience; Food; Forming_relationships; Giving; Gizmo; Hit_or_miss; Instance; Intentionally_act; Legality; Limitation; Locale_by_event; Locale_by_use; Location_in_time; Measure_duration; Measure_volume; Ordinal_numbers; Origin; Part_ordered_segments; Part_whole; Path_shape; People_by_vocation; Personal_relationship; Prevarication; Process_completed_state; Process_end; Process_start; Product_line; Quantified_mass; Quantity; Quitting; Rank; Reasoning; Rescuing; Rewards_and_punishments; Roadways; Secrecy_status; Sending; Shapes; Social_event_collective; Statement; Success_or_failure; Suitability; Temporal_subregion; Temporary_leave; Text; Text_creation; Trial; Type; Warning,2031; 1322; 165; 146; 1931; 602; 1818; 20; 1820; 1157; 329; 188; 229; 218; 2827; 5; 96; 2230; 1149; 2243; 1534; 117; 78; 500; 53; 2001; 520; 57; 417; 108; 76; 1596; 1345; 1027; 277; 723; 139; 106; 1902; 132; 198; 501; 2715; 1921; 196; 2141; 224; 155; 1147; 1103; 331; 140; 61; 1071; 102; 287; 234; 232; 133; 2524; 189; 2604; 325; 1377; 308; 2841; 216; 203; 1145; 243; 328; 2281; 43; 1388; 368; 1470; 2709; 298; 278; 201; 128; 2730,1,1,procedure/generic/mm06_mis_drd_transactions.json
"Emergency Response Benefit (EI ERB) Eligibility When a request for reconsideration relates to an EI ERB Eligibility for the period between w/c’s 2230 and 2257, in ADMS ensure the file is registered as follows: Issue: EI Emergency Response Benefit Sub-issue: Eligibility (D31) Sub-Sub-Issue #1: Ceased working for seven consecutive days Sub-Sub-Issue #2: Insurable earnings under $5000 Sub-Sub-Issue #3: Resides in Canada Sub-Sub-Issue #4: Under 15 years of age If there is an RFR WI related to the request for reconsideration, in NWS, reassign it to 7 - National RFR and Appeals / Specialized RFR Processing / RFR EI ERB Eligibility Note: In all such cases, the officer selects Other as the WI reassignment reason and types “EI ERB eligibility” in the Details field of the Work Item Reassignment screen.",80,Activity_stop; Age; Aging; Appeal; Appellations; Attention_getting; Becoming_aware; Being_employed; Being_operational; Calendric_unit; Causation; Choosing; Cognitive_connection; Communication_response; Compliance; Condition_symptom_relation; Conferring_benefit; Containers; Cotheme; Creating; Criminal_investigation; Dimension; Earnings_and_losses; Eclipse; Emanating; Emergency; Entity; Experiencer_obj; Fields; Frequency; Grasp; Grooming; Increment; Information; Instance; Interior_profile_relation; Labor_product; Leadership; Locale_by_event; Locale_by_use; Location_in_time; Locative_relation; Measure_duration; Measure_volume; Non-gradable_proximity; Origin; People_by_jurisdiction; People_by_vocation; Placing; Point_of_dispute; Political_locales; Process_stop; Processing_materials; Proportional_quantity; Quantified_mass; Reason; Reasoning; Recording; Relating_concepts; Relative_time; Removing; Request; Residence; Response; Self_motion; Social_event; Spatial_co-location; Statement; Submitting_documents; Supply; Temporary_group; Text; Text_creation; Timespan; Trial; Type; Usefulness; Version_sequence; Work; Working_a_post,166; 972; 1919; 504; 2390; 305; 20; 282; 1200; 229; 5; 352; 720; 42; 117; 2718; 2721; 78; 56; 319; 500; 108; 1873; 652; 361; 2831; 251; 47; 1345; 80; 979; 159; 1001; 1591; 132; 1178; 2164; 73; 1921; 196; 2141; 199; 224; 155; 2880; 1103; 1023; 1071; 62; 1608; 195; 144; 620; 1923; 189; 514; 308; 1615; 2060; 81; 63; 41; 110; 1302; 64; 125; 2905; 43; 1521; 1346; 2588; 298; 278; 2142; 201; 128; 726; 1960; 1892; 2603,1,1,procedure/generic/wl_mgmt_rfr.json
"In addition to the documents required in all cases, the officer must include: a copy of the ROD demonstrating that the Commission acted in a judicious manner in exercising its discretion in determining the penalty amount; any related claimant’s reports (certified copy if imaged); a copy of the Claimant’s report: INS5173 Request for exemption from reporting — Form , if the client is exempt from reporting; electronic claimant’s report questions and answers (FTS); the FTS - Payment information and the Direct Deposit portion of the application can be used to prove that warrants were received and deposited; the ACS letter A-01-00-00- Reconsideration of Decision that was sent to the client, if necessary; the Investigation Information Sheet from NIIS; the Report of Interview Sheet from NIIS (if necessary); the Earnings: INS5097 Request for payroll information — Form, if necessary; the Earnings: INS5098 Request for clarification of employment information — Form, if necessary; a copy of the Correspondence section, if necessary; all related transcripts.",80,Aiming; Amounting_to; Appellations; Attention_getting; Behind_the_scenes; Being_employed; Being_in_category; Being_necessary; Being_obligated; Cause_to_be_included; Cause_to_perceive; Cognitive_connection; Coming_to_be; Coming_to_believe; Commerce_buy; Commerce_pay; Committing_crime; Communication_response; Commutative_process; Condition_symptom_relation; Conduct; Containers; Contingency; Control; Creating; Criminal_investigation; Deciding; Degree; Deserving; Documents; Dough_rising; Duplication; Earnings_and_losses; Employing; Evidence; Exercising; Have_as_requirement; Hiring; Imitating; Imposing_obligation; Inclusion; Information; Ingest_substance; Instance; Intentionally_act; Leadership; Manner; Measure_volume; Needing; Part_whole; People_by_vocation; Performers_and_roles; Placing; Point_of_dispute; Protest; Quantified_mass; Quantity; Questioning; Reasoning; Receiving; Recording; Relating_concepts; Reporting; Request; Reshaping; Resolve_problem; Rewards_and_punishments; Scrutiny; Separating; Shapes; Statement; Text; Treating_and_mistreating; Trial; Turning_out; Type; Unemployment_rate; Using; Using_resource; Verification,1901; 602; 2390; 305; 409; 282; 1820; 1157; 392; 2230; 2161; 720; 316; 23; 171; 180; 700; 42; 2243; 2718; 491; 78; 900; 1799; 319; 500; 363; 2001; 541; 560; 1421; 11; 1873; 323; 25; 2400; 1491; 322; 1672; 1494; 1153; 1591; 386; 132; 198; 73; 2563; 155; 1375; 140; 1071; 413; 62; 1608; 2587; 189; 2604; 40; 308; 411; 1615; 2060; 483; 41; 344; 1523; 216; 31; 15; 328; 43; 298; 2770; 201; 2191; 128; 1606; 1141; 2480; 1230,1,1,procedure/generic/docs_recon_file.json
"Line 1: Type the appropriate option: If it is an entitlement in order, type “Family caregiver benefits.” If the client did not respond to the letter or if it is an entitlement not proven, type “Urgent — Family caregiver benefits.” Line 2: Type the appropriate option: If it is an entitlement in order, type “Reinstate payment as of w/c [XXXX].” If it is an entitlement not proven, type the appropriate option: If the end date is known, type “D61 and D13 from w/c [XXXX-X] to [XXXX-X].” If the end date is not known, type “D61 and D13 from w/c [XXXX-X] to 9999-9.” If it is a client that did not respond to the letter, type “Stop payments as of w/c [XXXX].” Line 3: Type the appropriate option: If it is an entitlement in order, type “The client is entitled to collect benefits for the out of Canada period.” If it is an entitlement not proven, type “The client is not entitled to collect benefits for the out of Canada period.” If the client did not respond to the letter, type “Adjudication is required to determine if the client is entitled to benefits while out of Canada.” Line 4: Leave the field blank.",79,Abandonment; Activity_stop; Aggregate; Alternatives; Arranging; Artistic_style; Awareness_status; Bail_decision; Being_named; Being_necessary; Biological_classification; Boundary; Causation; Cause_to_end; Cause_to_resume; Chaos; Coming_to_believe; Commerce_buy; Commerce_collect; Commerce_pay; Communication_response; Conferring_benefit; Contingency; Control; Death; Deciding; Degree; Deny_or_grant_permission; Departing; Distributed_position; Expected_location_of_person; Fame; Fields; Food; Forming_relationships; Frequency; Gathering_up; Giving; Halt; Have_as_requirement; Imposing_obligation; Kinship; Law; Locale_by_event; Locale_by_use; Location_in_time; Locative_relation; Name_conferral; Needing; Negation; Organization; Origin; Path_shape; Personal_relationship; Preventing_or_letting; Process_end; Process_stop; Product_line; Prohibiting_or_licensing; Quitting; Rank; Request; Request_entity; Response; Rite; Roadways; Sentencing; Sequence; Shapes; Sleep; Social_event; Social_event_collective; Suitability; Temporal_subregion; Temporary_leave; Text; Text_creation; Thwarting; Type,2031; 166; 103; 1931; 921; 2490; 2593; 121; 228; 1157; 2701; 329; 5; 1149; 1372; 2705; 23; 171; 210; 180; 42; 2721; 900; 1799; 53; 363; 2001; 520; 57; 76; 1619; 1880; 1345; 277; 723; 80; 260; 139; 1024; 1491; 1494; 104; 950; 1921; 196; 2141; 199; 221; 1375; 2860; 1371; 1103; 61; 102; 516; 232; 144; 2524; 521; 325; 1377; 41; 2700; 1302; 301; 203; 297; 2135; 328; 264; 125; 2281; 368; 1470; 2709; 298; 278; 518; 128,1,1,procedure/generic/mm06_fcb_out_canada_transaction.json
"Line 1: Type “D[disqualification] [start date].” Example: D11 1750 Line 2: Type the appropriate option: If it is a warning letter, type “notice - warning letter - [Integrity case number].” Example: notice - warning letter - 12345678A9 If it is a penalty, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 LVA $3717 12345678A9 If it is a penalty and a violation, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] VLN V-1-0 LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 VLN V-1-0 LVA $3717 12345678A9 If it is a warning letter and an unclassified violation, type “notice - warning letter LMR [first, second or third level of misrepresentation] VLN V-1-1 [Integrity case number].” Example: notice - warning letter LMR 1st VLN V-1-1 12345678A9 Line 3: Type the appropriate option: “Send the saved D-91-00-00 letter [correspondence ID].” “Add [missing fields] to the D-91-00-00 letter [correspondence ID] and send.” “Amend the D-91-00-00 letter [correspondence ID], if necessary (re: reconsideration limitation) and send.” “SEND a REM WI when complete.” (so that the agent can send the ACS letter) Line 4: Leave the field blank.",79,Abandonment; Active_substance; Activity_finish; Activity_start; Alternatives; Amounting_to; Be_subset_of; Becoming_aware; Being_in_category; Being_necessary; Boundary; Building_subparts; Calendric_unit; Cardinal_numbers; Catching_fire; Causation; Cause_change_of_position_on_a_scale; Cause_to_be_included; Commutative_process; Completeness; Compliance; Containers; Criminal_investigation; Degree; Deny_or_grant_permission; Departing; Destroying; Dimension; Distributed_position; Extreme_value; Fields; First_experience; Food; Forming_relationships; Giving; Gizmo; Hit_or_miss; Instance; Intentionally_act; Legality; Limitation; Locale_by_event; Locale_by_use; Location_in_time; Measure_duration; Measure_volume; Ordinal_numbers; Origin; Part_ordered_segments; Part_whole; Path_shape; People_by_vocation; Personal_relationship; Prevarication; Process_completed_state; Process_start; Product_line; Quantified_mass; Quantity; Quitting; Rank; Reasoning; Rescuing; Rewards_and_punishments; Roadways; Secrecy_status; Sending; Shapes; Social_event_collective; Statement; Success_or_failure; Suitability; Temporal_subregion; Temporary_leave; Text; Text_creation; Trial; Type; Warning,2031; 1322; 165; 146; 1931; 602; 1818; 20; 1820; 1157; 329; 188; 229; 218; 2827; 5; 96; 2230; 2243; 1534; 117; 78; 500; 2001; 520; 57; 417; 108; 76; 1596; 1345; 1027; 277; 723; 139; 106; 1902; 132; 198; 501; 2715; 1921; 196; 2141; 224; 155; 1147; 1103; 331; 140; 61; 1071; 102; 287; 234; 133; 2524; 189; 2604; 325; 1377; 308; 2841; 216; 203; 1145; 243; 328; 2281; 43; 1388; 368; 1470; 2709; 298; 278; 201; 128; 2730,1,1,procedure/generic/mm06_misrep_drd_transactions.json
"The officer must include: the relevant pages of the EI application (always include the following sections in addition to other pages related to the issue under appeal): Personal Information Benefit Type Note: Depending on the benefit type (BT) the client chooses, the officer includes the appropriate summary page as follows: BT Summary page Maternity benefits Validation of maternity benefits information Parental benefits Validation of parental benefits information Maternity and parental benefits Validation of maternity or parental benefits information Third Party Declaration and Attestation Note: If the application does not include a Third Party Declaration and Attestation, the following sections must be included: Rights and Responsibilities Attestation Confirmation and Information; Note: Generally, the most recent EI application (initial or renewal) is sufficient unless a more complete history of the claim is needed.",77,Activity_finish; Affirm_or_deny; Aggregate; Appeal; Appellations; Attention_getting; Becoming_aware; Being_necessary; Being_relevant; Being_up_to_it; Cause_to_be_included; Change_direction; Choosing; Claim_ownership; Cognitive_connection; Commerce_buy; Commutative_process; Completeness; Compliance; Condition_symptom_relation; Conferring_benefit; Contacting; Contingency; Cotheme; Creating; Documents; Emanating; Experiencer_obj; Fields; Frequency; Grasp; Have_as_requirement; History; Inclusion; Increment; Individual_history; Information; Ingest_substance; Intentionally_act; Intentionally_affect; Kinship; Leadership; Needing; Negation; Non-gradable_proximity; Ordinal_numbers; Out_of_existence; Part_orientational; Part_whole; Participation; People_by_vocation; Point_of_dispute; Predicting; Process_completed_state; Proportional_quantity; Relating_concepts; Relative_time; Reliance; Request; Required_event; Rite; Separating; Sex; Social_event; Statement; Sufficiency; Suitability; Supply; Text; Text_creation; Thriving; Time_vector; Touring; Type; Using; Verification; Version_sequence,165; 2974; 103; 504; 2390; 305; 20; 1157; 2530; 1440; 2230; 1653; 352; 550; 720; 171; 2243; 1534; 117; 2718; 2721; 286; 900; 56; 319; 560; 361; 47; 1345; 80; 979; 1491; 2113; 1153; 1001; 1906; 1591; 386; 198; 230; 104; 73; 1375; 2860; 2880; 1147; 2105; 143; 140; 1144; 1071; 1608; 425; 234; 1923; 2060; 81; 901; 41; 1381; 301; 15; 2913; 125; 43; 342; 368; 1346; 298; 278; 1771; 379; 1907; 128; 1141; 1230; 1960,1,1,procedure/generic/docs_recon_file.json
"Line 1: Type the appropriate option: If the work type is 30 , type “MPS claim.” If the work type is 41 , type “Conversion to MPS required.” Line 2: Type the appropriate option: If the client is requesting a tax deduction other than one of the existing rates, type “Client is requesting that the tax deduction is of [dollar amount] per week.” If the client is requesting a tax deduction other than one of the existing rates and is a Quebec resident, type “Client is requesting that the federal tax deduction is of [dollar amount] per week and that the provincial tax deduction is of [dollar amount] per week.” If the client is a Status Indian participating in a job creation project in which only the job creation portion of benefits payable is tax exempt, type “Client is a Status Indian participating in a job creation project.” If the client is requesting the tax deduction change due to factual residency on an Interstate claim (SCC 3503 ) or an Outside Canada claim (SCC 3518 ), type “The client is factual resident of [province of client’s Canadian residence] on an [Interstate or Outside Canada] claim.” Line 3: Type the appropriate option: If the client is requesting a tax deduction change, type “Client resides in [specify code/province].” If the client is a Status Indian participating in a job creation project, type “Only the job creation portion is tax exempt.” If this is an Interstate or Outside Canada claim, type “Client is requesting to change the tax deduction to [applicable tax code or dollar amount].” Line 4: Select the appropriate option: Saskatchewan claim: If applicable, indicate the number of dependants (even if it is 0).",75,Alternatives; Amounting_to; Assessing; Be_subset_of; Being_employed; Being_in_category; Being_necessary; Being_obligated; Being_operational; Boundary; Buildings; Calendric_unit; Cardinal_numbers; Cause_change; Change_tool; Choosing; Claim_ownership; Coming_to_believe; Commerce_buy; Communication; Condition_symptom_relation; Conferring_benefit; Degree; Dimension; Distributed_position; Evidence; Exchange; Exchange_currency; Existence; Have_as_requirement; Imposing_obligation; Increment; Indicating; Intentionally_create; Interior_profile_relation; Labor_product; Law; Locale_by_use; Measure_duration; Medical_intervention; Needing; Origin; Part_inner_outer; Part_whole; Participation; People_by_origin; Political_locales; Predicting; Price_per_unit; Product_line; Project; Proportion; Quantified_mass; Quantity; Rate_quantification; Relational_quantity; Replacing; Reporting; Request; Residence; Roadways; Shapes; Sign; Social_event; Sole_instance; Speed_description; Statement; Suitability; Text_creation; Type; Undergo_change; Undergo_transformation; Usefulness; Work; Working_a_post,1931; 602; 519; 1818; 282; 1820; 1157; 392; 1200; 329; 173; 229; 218; 683; 1173; 352; 550; 23; 171; 6; 2718; 2721; 2001; 108; 76; 25; 1170; 1184; 660; 1491; 1494; 1001; 2090; 280; 1178; 2164; 950; 196; 224; 2741; 1375; 1103; 327; 140; 1144; 974; 195; 425; 2430; 2524; 1158; 2431; 189; 2604; 2425; 2427; 1121; 483; 41; 110; 203; 328; 428; 125; 355; 966; 43; 368; 278; 128; 1172; 2973; 726; 1892; 2603,1,1,procedure/generic/mm06_tax_impot_transation.json
"Line 1: Type the appropriate option: If it is an entitlement in order, type “Caregiver benefits.” If the client did not respond to the letter or if it is an entitlement not proven, type “Urgent — Caregiver benefits.” Line 2: Type the appropriate option: If it is an entitlement in order, type “Reinstate payment as of w/c [XXXX].” If it is an entitlement not proven, type the appropriate option: If the end date is known, type “D61 from w/c [XXXX-X] to [XXXX-X].” If the end date is not known, type “D61 from w/c [XXXX-X] to 9999-9.” If it is a client that did not respond to the letter, type “Stop payments as of w/c [XXXX].” Line 3: Type the appropriate option: If it is an entitlement in order, type “The client is entitled to collect benefits for the vacation in Canada period.” If the client is not entitled, type “The client is not entitled to collect benefits for the vacation in Canada period.” If the client did not respond to the letter, type “Adjudication is required to determine if the client is entitled to benefits while on vacation in Canada.” Line 4: Leave the field blank.",74,Abandonment; Activity_stop; Alternatives; Arranging; Artistic_style; Awareness_status; Bail_decision; Being_named; Being_necessary; Biological_classification; Boundary; Causation; Cause_to_end; Cause_to_resume; Chaos; Coming_to_believe; Commerce_buy; Commerce_collect; Commerce_pay; Communication_response; Conferring_benefit; Contingency; Control; Death; Deciding; Degree; Deny_or_grant_permission; Departing; Distributed_position; Fame; Fields; Food; Forming_relationships; Frequency; Gathering_up; Giving; Halt; Have_as_requirement; Imposing_obligation; Law; Locale_by_event; Locale_by_use; Location_in_time; Name_conferral; Needing; Negation; Organization; Origin; Path_shape; Personal_relationship; Preventing_or_letting; Process_end; Process_stop; Product_line; Prohibiting_or_licensing; Quitting; Rank; Request; Request_entity; Response; Rite; Roadways; Sentencing; Sequence; Shapes; Social_event; Social_event_collective; Suitability; Temporal_subregion; Temporary_leave; Text; Text_creation; Thwarting; Type,2031; 166; 1931; 921; 2490; 2593; 121; 228; 1157; 2701; 329; 5; 1149; 1372; 2705; 23; 171; 210; 180; 42; 2721; 900; 1799; 53; 363; 2001; 520; 57; 76; 1880; 1345; 277; 723; 80; 260; 139; 1024; 1491; 1494; 950; 1921; 196; 2141; 221; 1375; 2860; 1371; 1103; 61; 102; 516; 232; 144; 2524; 521; 325; 1377; 41; 2700; 1302; 301; 203; 297; 2135; 328; 125; 2281; 368; 1470; 2709; 298; 278; 518; 128,1,1,procedure/generic/mm06_fcb_vac_canada_transaction.json
"Example: M175 V 0350 1750-1753 Line 2: Type the appropriate option: If it is a warning letter, type “notice - warning letter - [Integrity case number].” Example: notice - warning letter - 12345678A9 If it is a penalty, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 LVA $3717 12345678A9 If it is a penalty and a violation, type “P [penalty percentage] LMR [first, second or third level of misrepresentation] MPA [maximum penalty amount] VLN V-1-0 LVA [legal validation amount] [Integrity case number].” Example: P 40% LMR 1st MPA $5000 VLN V-1-0 LVA $3717 12345678A9 If it is a warning letter and an unclassified violation, type “notice - warning letter LMR [first, second or third level of misrepresentation] VLN V-1-1 [Integrity case number].” Example: notice - warning letter LMR 1st VLN V-1-1 12345678A9 Line 3: Type the appropriate option: “Send the saved D-91-00-00 letter [correspondence ID].” “Add [missing fields] to the D-91-00-00 letter [correspondence ID] and send.” “Amend the D-91-00-00 letter [correspondence ID], if necessary (re: reconsideration limitation) and send.” “SEND a REM WI when complete.” (so that the agent can send the ACS letter) Line 4: Leave the field blank.",70,Abandonment; Active_substance; Activity_finish; Alternatives; Amounting_to; Be_subset_of; Becoming_aware; Being_in_category; Being_necessary; Boundary; Building_subparts; Calendric_unit; Cardinal_numbers; Causation; Cause_change_of_position_on_a_scale; Cause_to_be_included; Commutative_process; Completeness; Compliance; Containers; Criminal_investigation; Degree; Deny_or_grant_permission; Departing; Destroying; Dimension; Distributed_position; Extreme_value; Fields; First_experience; Forming_relationships; Giving; Gizmo; Hit_or_miss; Instance; Intentionally_act; Legality; Limitation; Locale_by_event; Locale_by_use; Measure_duration; Measure_volume; Ordinal_numbers; Part_ordered_segments; Part_whole; Path_shape; People_by_vocation; Prevarication; Process_completed_state; Product_line; Quantified_mass; Quantity; Quitting; Rank; Reasoning; Rescuing; Rewards_and_punishments; Roadways; Secrecy_status; Sending; Shapes; Statement; Success_or_failure; Suitability; Temporary_leave; Text; Text_creation; Trial; Type; Warning,2031; 1322; 165; 1931; 602; 1818; 20; 1820; 1157; 329; 188; 229; 218; 5; 96; 2230; 2243; 1534; 117; 78; 500; 2001; 520; 57; 417; 108; 76; 1596; 1345; 1027; 723; 139; 106; 1902; 132; 198; 501; 2715; 1921; 196; 224; 155; 1147; 331; 140; 61; 1071; 287; 234; 2524; 189; 2604; 325; 1377; 308; 2841; 216; 203; 1145; 243; 328; 43; 1388; 368; 2709; 298; 278; 201; 128; 2730,1,1,procedure/generic/mm06_misrep_drue_transactions.json
