dataset,node_id,cluster_id,is_in_duplicate_cluster,cluster_size,body_type,node_type,article_path,article_title,document_type,language,word_count,content_hash,text
KMT bodies EN,dita_body:5b2d890721871ebd8d23,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_addressing_guidelines.dita,Addressing guidelines,concept,en,346,16b8658cc544daa2a4e3474b1a8d2251f75e00e6,"Accurate addresses reduce costs for the Department by reducing the amount of correspondence returned by Canada Post. To avoid a surcharge from Canada Post, addresses in ITRDS must meet the addressing guidelines provided by Canada Post. For more information, refer to Addressing Guidelines Internal link . Addressing Guidelines The most common mistake in address formatting occurs when the apartment or suite information is entered. The correct format for a Canadian address with apartment or suite information requires the apartment or suite number to appear: before the civic address number; with a hyphen in between; without spaces; without the word “Suite”; and without the “#” symbol. When a client has provided their civic address in addition to PO Box information, enter the civic address in the Home address fields and the PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. The standard format of a Home address is the following: the client's name; their civic address; and municipality name, province or territory and postal code. The standard format of a Mailing address is the following: the client's name; their civic address or their PO Box number and the station information (if applicable); and municipality name, province or territory and postal code. When a client has provided their civic address in addition to PO Box information and both are within the same community (i.e. they have the same postal code and are in the same town or city), combine and enter the civic address and PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. Once a client's address is changed, the old address information is moved to the Address History screen. Preferred official language When you modify a client's address, ensure that the address is entered in their preferred official language, which can be found in the Written Language field on the Client Profile screen in ITRDS . By using the client's preferred official language, the Department complies with the requirements of the Official Languages Act and avoids Official Language complaints. Address Guidelines for a Client's Preferred Language"
KMT bodies EN,dita_body:0e57f28ec79de20168bf,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_cascading_addresses.dita,Cascading addresses,concept,en,158,92e4439c753930ba8996519df7a45cb26adfeae7,"An address cascade is when an update is made to one account and the change automatically transfers to another related account. The address cascades in ITRDS are based on the interrelationships in the client's account (i.e. related CPP child accounts with the same payee client identifier). Even if the interrelationship is no longer active, a change to the address on one account will continue to cascade to the related account until that relationship is severed or a new address is added to the related account. When changing the address, you must consider: If the client has an interrelated spouse, ensure that the spouse's benefits are not affected by the changes. Address changes for a child under the age of 18 (-18 child) cannot be made on the child's Client Profile screen. They must be made from the account of the person who is receiving the payment on the child's behalf, or on the child's Contact / Applicant screen."
KMT bodies EN,dita_body:7e52267d9570808e7d75,body_en_cluster_00007,yes,3,taskbody,dita_taskbody,en/KA-01029_EN/ka-01029_delete_future_address_andor_direct_deposit.dita,Delete Future Address and/or Direct Deposit,task,en,91,8f1fd4a4361ec1fd7d3f59eac84b57ec15b046d3,"To delete a future address or direct deposit, click Delete in the Address / Direct Deposit block. The Delete Future Address and/or Direct Deposit screen opens. Select the appropriate address or direct deposit. Click Save . The Client Profile screen opens. To delete an existing direct deposit, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Enter the Start Date (YYYYMMDD). This field is prefilled with the current date. Enter the Receipt Date (YYYYMMDD). Update the Direct Deposit block. Click Save . The Client Profile screen opens."
KMT bodies EN,dita_body:493164b9029936964f4a,,no,,refbody,dita_refbody,en/KA-01029_EN/ka-01029_glossary.dita,Glossary,reference,en,5,f22a9ec3b65995264b9e852df71e5e904e3bc6ce,Home address Mailing address Payee
KMT bodies EN,dita_body:47b15811bb9f371a3631,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_payment_destination.dita,Payment destination,concept,en,162,11ce1dac62131f7eaa03bfc053a5a58335431276,"Effective June 1, 2024, applicants are able to add the account holder name(s) to the direct deposit section for online CPPD benefits, RTR pension and SVR pension applications if the direct deposit information does not exist in ITRDS . For more information, refer to My Service Canada Account (Knowledge) and to My Service Canada Account (Knowledge) Online Applications for CPP (Knowledge) The Mailing address field indicates the correspondence address and payment destination when the client receives their payments by paper cheque. When the client wishes to receive their payments by direct deposit, there is no change to the mailing address. To send the Mailing address or Direct Deposit update from ITRDS to Cúram, select Share with CURAM when modifying the information. Modifying the Home address fields will not affect the existing Mailing address (i.e. paper cheque) or Direct Deposit fields. If no mailing address has been added to the account, the Home address will be copied to the Mailing address fields."
KMT bodies EN,dita_body:e8882b145fa6cd49b2f5,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_summary.dita,Summary,concept,en,12,60a90939ee30cbaf9c697c16685d3804af5deedd,"Modify a client's home address, mailing address or payment destination in ITRDS ."
KMT bodies EN,dita_body:098b9475f7fc14d555c1,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_third_party_payee.dita,Third Party Payee,concept,en,148,a362b8173427162340e31c98b6e3b6410ce9d4d8,"If the client has a payee contact (e.g. a trustee), you cannot modify the payee's mailing address or payment destination on the Modify Address / Direct Deposit screen. You must update the third party contact information on the Contact / Applicant screen in ITRDS . Once completed, the payee's mailing address or payment destination will be displayed on the Client Profile screen instead of the client's mailing or payment destination address. If you need to add a payee contact, Third Party Contact—Payee (Scenario) Updating the client's address to remove a payee contact If the client has a payee contact in ITRDS receiving payments on their behalf, the payee's mailing address will be displayed on the Client Profile screen. Once you have determined the client can receive their own correspondence and payments, updating the client's Mailing address and payment destination on the Modify Address / Direct Deposit will remove the existing payee."
KMT bodies EN,dita_body:4db21a137f9da3a8e1dc,body_en_cluster_00007,yes,3,taskbody,dita_taskbody,en/KA-01029_EN/ka-01029_what_you_need_to_do.dita,What you need to do,task,en,126,43c1efdb5f2451f3cdf7936e77f4da0267810fb8,"In ITRDS , click Client Profile from the institutional bar. The Client Profile screen opens. To delete a future address or direct deposit, go to the Delete Future Address and/or Direct Deposit section below. To modify the address or payment address information, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Modify the home address as follows: Click Save . If any of the following messages appear, take the appropriate action: Click OK to return to the Client Profile screen or click Cancel to remain on the Modify Address / Direct Deposit screen. Modify the direct deposit information, if applicable. Refer to Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) . Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) Click Save ."
KMT bodies EN,dita_body:6086c7dd1e806c9b78cf,,no,,conbody,dita_conbody,en/KA-01029_EN/ka-01029_what_you_need_to_know.dita,What you need to know,concept,en,98,f0e926776049511e032a123ffbe18edaa19fec06,"Effective March 10, 2025, you can enter 3 unique addresses in ITRDS for the client ( Home , Mailing and Direct Deposit ). Adding a Mailing address to the client's account will not change the payment destination from direct deposit to paper cheque. When updating a client's address, it is important to be aware of when a change of address can affect a client's entitlement. For example, a change of address resulting from a client's departure from or return to Canada can affect their continuing eligibility to OAS benefits. Clients who live outside of Canada may be subjected to non-resident tax."
KMT bodies EN,dita_body:554694aeb93166527656,body_en_cluster_00042,yes,100,conbody,dita_conbody,en/KA-01037_EN/ka-01037_exceptions_and_special_cases.dita,Exceptions and special cases,concept,en,17,498f7c15dac482626cbe3832fb6aabab3e8c809d,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
KMT bodies EN,dita_body:37deb39275ecb9d9db32,,no,,refbody,dita_refbody,en/KA-01037_EN/ka-01037_forms.dita,Forms,reference,en,92,f8f646526de2ffd1483c56cec1108d3ab89cae8b,ISP-1002—Application for Canada Pension Plan Pension Sharing of Retirement Pension(s) ISP-1401—Declaration of Attendance at School or University ISP-1402—Canada Pension Plan Child's Benefit Application and Declaration for a Student Over 18 Years of Age in Attendance at School or University ISP-2508―Disability Determination ISP-3045—Conversion Application (OAS/GIS) ISP-5014—OAS Incarceration Inquiry You can access the forms listed above in the ESDC/SC - Service Canada Forms List Internal link (access is required). Search the forms catalogue using the 4 digits. (KA-03207 Snippet 19.0 content. Do not modify or delete.) ESDC/SC - Service Canada Forms List
KMT bodies EN,dita_body:ec56b2045a316a395941,,no,,refbody,dita_refbody,en/KA-01037_EN/ka-01037_glossary.dita,Glossary,reference,en,5,ae369049779fcb6a9cb175125b4ef7c15a535343,Beneficiary Pension sharing Reinstate Terminate
KMT bodies EN,dita_body:87f539ce23107361fbf0,,no,,conbody,dita_conbody,en/KA-01037_EN/ka-01037_integrity_services_branch_investigation.dita,Integrity Services Branch investigation,concept,en,87,b2deed7b542543491bfa4662dd53a3be07a70ade,"The Integrity Services Branch (ISB) must advise you to release the benefit before you can reinstate payments. Refer to: Receiving Items From Integrity Services Branch—CPP (Scenario) ; and Receiving Items From Integrity Services Branch—CPP (Scenario) Receiving Items From Integrity Services Branch—OAS (Scenario) . Receiving Items From Integrity Services Branch—OAS (Scenario) Once advised by ISB, you must promptly: make necessary updates to the account; release the benefit; issue a priority payment to compensate for the period when the account was suspended; and advise the client by sending the appropriate letter."
KMT bodies EN,dita_body:bacddf7ce8620cd61250,,no,,conbody,dita_conbody,en/KA-01037_EN/ka-01037_is_a_manual_intervention_required.dita,Is a manual intervention required?,concept,en,34,75c336b44411d2948f06295b38efe5e64f7a494f,"You can reinstate an account after a manual intervention. Refer to Special Handling Scenarios (PDF, 687 KB) Download link and Special Handling in the Regions (Work Tool) KA-04022 (article not available). Special Handling Scenarios"
KMT bodies EN,dita_body:42a7cc64d828c312f7cb,,no,,conbody,dita_conbody,en/KA-01037_EN/ka-01037_is_the_date_of_birth_on_a_terminated_ac_affaa7fb.dita,Is the date of birth on a terminated account incorrect?,concept,en,38,f8abc1be997a4f0977ba2b4cafb5595ee2c58df4,"An account has been terminated due to age, but the date of birth is incorrect, and the client is still eligible. To reinstate the benefit, you must modify the date of birth. Modify a Date of Birth (Action)"
KMT bodies EN,dita_body:e6c4f0836402de6f134f,body_en_cluster_00122,yes,3,conbody,dita_conbody,en/KA-01037_EN/ka-01037_periodic_payments.dita,Periodic payments,concept,en,55,9dc4adadc60543b5c0ee29ccad876973e6431a8b,"Effective July 10, 2024, you can set up new periodic payment requests in CPMS if there are no existing periodic payments in ITRDS . For OAS, you must release payments from a suspended status to make a periodic payment. After the payment has been sent, you must suspend them again. For more information, Periodic Payments (Scenario)"
